"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NCR3",-1.22766542168289,5.35913435332305,-11.270301946339,8.9488266705968e-28,6.3361954173859e-25,52.1940385269078
"KLRB1",-1.18528595316018,9.99254323816873,-10.9429422181792,2.31184988162925e-26,1.24999621417983e-23,49.00566193641
"CD40LG",-1.11730563258116,5.21265201462963,-9.85368039132669,6.74977817292915e-22,2.18011631610258e-19,38.9334414324333
"ID3",-1.54234806661795,6.19565350292181,-9.64189330471051,4.51193114722531e-21,1.32847335105135e-18,37.0743179616597
"LOC100128771",-1.0042140043777,6.78468396773663,-9.47314947392024,2.00173967585473e-20,5.13170124832482e-18,35.6168644382474
"LOC729423",-1.24803981967532,6.45940542052469,-9.45400114938836,2.36726962976455e-20,5.74150263321286e-18,35.4528242815038
"MAN1C1",-1.10130362241344,5.48302094082305,-9.08852600174225,5.51407475463342e-19,1.08594407320059e-16,32.3749955576598
"LOC728453",-1.12370580849837,10.7796902599074,-8.98020706013373,1.37468112525235e-18,2.53914703743816e-16,31.482372273329
"LOC440311",-1.1878801539421,7.37084406627572,-8.95174304825365,1.74503767403525e-18,3.14508668790668e-16,31.2493083170154
"HNRPA1L-2",-1.32574901760824,7.31646470968107,-8.66219870403051,1.9063766629329e-17,2.83459146011493e-15,28.9142471486977
"LOC388275",-1.08970659994859,7.38122145852881,-8.47526969526807,8.61990465316107e-17,1.12924548271235e-14,27.4416189004941
"LOC100130775",-1.00527411550594,7.59106942798354,-8.41323948168943,1.41355611465077e-16,1.75884233211233e-14,26.9590499430819
"KLF12",-1.04968021662878,6.67479762720165,-8.30834075407488,3.24015276685035e-16,3.73471561940294e-14,26.1499476078834
"LOC642989",-1.31046299633115,9.32925071070988,-8.29424562879537,3.61978594260015e-16,4.12433694869897e-14,26.0418986950486
"LOC651149",-1.13408323801677,8.37681607896091,-8.22991734826939,5.98978977823744e-16,6.52470214011813e-14,25.5507971415043
"LTBP3",-1.04379640125539,5.63429183504115,-8.214691530137,6.74485275427654e-16,7.16351540023842e-14,25.4350442566383
"AFF3",-1.00669556050321,5.54278021425926,-8.21379543894767,6.79210671800052e-16,7.18803094590389e-14,25.4282376053627
"LOC100130562",-1.3742869484172,8.42399708435185,-8.16498142184317,9.92546800452413e-16,9.83878558395129e-14,25.0584246808923
"BACH2",-1.14301378397457,6.05808560303498,-8.12632972262781,1.33848029124768e-15,1.28814650165448e-13,24.7669617526791
"KLRC3",-1.10999627297078,6.06007394320988,-8.00727471879761,3.33683469993547e-15,2.90999385063581e-13,23.8767805104592
"TMEM204",-1.02729448330898,6.18963671325103,-7.75527568418074,2.22151596115623e-14,1.67673709778843e-12,22.0305892542516
"C16orf30",-1.11289974844155,6.19231739299383,-7.58689238539533,7.66048119196366e-14,4.99513324413374e-12,20.8260161567332
"CXCR5",-1.28947768889609,6.54246767583333,-7.49775668710252,1.46134649022378e-13,8.74396819442151e-12,20.1978523262546
"FCER1A",-1.23512988428029,8.70209290032922,-7.48046681264073,1.65513220457203e-13,9.78535218679185e-12,20.076769926551
"LOC100132499",-1.22621938153137,6.67536362825103,-7.40772178234719,2.7873446802625e-13,1.57585657987921e-11,19.5700578330368
"FCER2",-1.09317076521376,5.63503237856996,-7.36260820948982,3.84249552999367e-13,2.09666297377893e-11,19.2580337671675
"FAM102A",-1.00314603280574,7.08972480309671,-7.12603168914288,2.01240415643317e-12,9.17866177975608e-11,17.6497293314624
"HLA-DOA",-1.04064609143128,6.24683732755144,-6.90840560502085,8.85621278315601e-12,3.38082228171365e-10,16.2120287910738
"C2orf89",-1.02185907242964,6.47101129523663,-6.8723096764373,1.12800389980488e-11,4.19832039704601e-10,15.9774668293736
"D4S234E",-1.09150925059795,5.92736736683128,-6.74006668653069,2.71101509780189e-11,9.33103784472598e-10,15.1276404971326
"LRRN3",-1.08095226891774,7.35733838170782,-6.45269905667243,1.73134446713141e-10,4.87102381869007e-09,13.3328791474795
"TCL1A",-1.07795209927758,5.52410023919753,-6.41965898626184,2.13304748549854e-10,5.85171274204389e-09,13.1311142958203
"LOC100132673",-1.00875456402326,9.31092701763374,-6.19308938797878,8.69771294434863e-10,2.03823946051253e-08,11.7732043049838
"FCGBP",-1.15391696091721,6.66929556416667,-5.98093003574717,3.11530534211981e-09,6.29367868641024e-08,10.5425398442861
"FCRLA",-1.14062862078732,7.70670389330247,-5.39904124913274,8.42433998926125e-08,1.19069877661906e-06,7.3727076598372
"LOC642073",-1.05141164860661,6.79604825282922,-5.19208427841975,2.53279924427311e-07,3.15676378567451e-06,6.31878357230749
"VPREB3",-1.16030832594969,6.97573734959877,-5.09409437397003,4.20913138700914e-07,4.94943254989631e-06,5.83335376066447
