"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IFI27",5.4747850277624,11.99454785643,16.09922871029,7.21662158386573e-52,2.14607892660999e-47,106.68855925795
"RSAD2",3.67101111139609,10.2955781679012,15.485442485954,1.66310144882513e-48,2.47286554425808e-44,99.0776052393072
"IFI44L",3.57360448386903,11.2770908529527,14.8520201164438,4.06180460074021e-45,4.02633150722708e-41,91.4103897916645
"IFIT2",1.83641459848484,12.5541431403189,14.7889815900795,8.73194005893801e-45,6.49176083681746e-41,90.6581856253879
"IFI44",2.57898984021101,11.1927886926543,14.6174887109279,6.93243550035893e-44,4.12313533819348e-40,88.6220535406103
"EPSTI1",2.34226597678029,11.1742622248868,14.5458685299051,1.63945906912924e-43,8.12570563296087e-40,87.7761642267168
"IFITM3",2.23514284889068,12.9199594630041,14.4711641180661,4.01211703026119e-43,1.7044619463701e-39,86.8966718921871
"IFIT1",2.7638613647186,12.1181547512449,14.4517975176272,5.05739396566094e-43,1.87995977188531e-39,86.6691426127889
"IFIT3",2.47277232782736,11.4344532780658,14.1645397360872,1.53196524854594e-41,5.06195361791769e-38,83.317410514432
"HERC5",2.36421894313581,11.4020910922634,13.9627354843854,1.63821658252671e-40,4.87172847311792e-37,80.9890549443109
"PARP9",1.4127065784199,10.41312632143,13.8400785422536,6.84134408818788e-40,1.84952627722301e-36,79.5846713087256
"OASL",2.38790692789772,9.70737266333333,13.5303989863094,2.43353211342063e-38,5.56679830683867e-35,76.0759110511152
"TNFAIP6",1.80125364279761,9.64874764687243,13.2711950116969,4.63803044613307e-37,9.85183924336466e-34,73.1805685614548
"PLSCR1",1.85064316480789,7.54609612701646,13.2475565909766,6.05669936969608e-37,1.20076083904015e-33,72.9184374816076
"EIF2AK2",1.63524921407739,10.299363819177,13.0544891466576,5.29133240518834e-36,9.83460269159318e-33,70.7896021542803
"OAS3",2.50835563219967,9.90874928472222,13.0260207194419,7.27046118373346e-36,1.27181749812862e-32,70.4775385475918
"MX1",1.90168222987012,12.4791082371296,13.01611110017,8.11986255931695e-36,1.34149151549426e-32,70.369023490055
"ZBP1",1.74789362450756,9.97936813788066,12.9694138606655,1.36564221773318e-35,2.13744569847101e-32,69.8584442330397
"DDX60L",1.53252741621211,8.85680681331276,12.9442373467323,1.80649102442517e-35,2.68607150421778e-32,69.5837023265751
"PRIC285",1.3834386210552,10.4099073415432,12.8124107485894,7.76840320682511e-35,1.10007987887888e-31,68.1512638441002
"XAF1",1.90917606461579,10.9705914213786,12.6754917400132,3.4953648840812e-34,4.72478004194576e-31,66.6744840498044
"OAS1",2.34121154905843,10.4217226530864,12.5974991100521,8.19107632328463e-34,1.01494261542433e-30,65.83832482293
"TRIM22",1.36519196441559,10.2953510547839,12.5291829249243,1.72177423953209e-33,2.04808489340821e-30,65.1089420583549
"STAT1",1.02723969266505,11.7138439063992,12.5125325180641,2.06263393417466e-33,2.35917722824946e-30,64.9316041759977
"MX2",1.16955167578193,10.5069635655967,12.0578773231785,2.67624244833996e-31,2.84236064031192e-28,60.1554685188821
"ODF3B",1.21358514206709,6.22111462742798,12.0345419388087,3.42339413437907e-31,3.51051361269534e-28,59.9138223478883
"REC8",1.04503269382846,8.77445769708848,11.7250755123027,8.67368951525385e-30,8.06056808764435e-27,56.7420535512065
"CMPK2",2.13282681714013,5.84537631375514,11.551456539688,5.17515258911511e-29,4.66359659682136e-26,54.9897001358069
"ISG15",2.4535399319724,11.663791174321,11.4829252360999,1.04171342920689e-28,9.1113158699278e-26,54.3034385065167
"IL1RN",1.21557133856331,9.50275515660494,11.4720009217196,1.16427414983302e-28,9.89233847649555e-26,54.1943299467672
"FFAR2",1.10030355587121,11.0536627640535,11.3819583174152,2.90342611116049e-28,2.33356988361326e-25,53.2980184762458
"IFI6",1.23096568742154,11.8683356069547,11.3282815909627,4.99310844593967e-28,3.80730920423984e-25,52.7662633118984
"IFIT5",1.79383343537607,7.58650968090535,11.3237275289456,5.22768643045965e-28,3.88652347672523e-25,52.7212362103762
"TNFSF13B",1.00836415498917,11.650663134249,11.2511986124956,1.08402936721772e-27,7.46040376385799e-25,52.0059922170639
"IRF7",1.45571781501081,11.0456030013374,11.2413168052827,1.19694957372759e-27,7.90997476078021e-25,51.9088152279806
"LOC100128274",1.4896479752408,7.73901003122428,11.2286469906954,1.35897214399885e-27,8.78545948222559e-25,51.7843169768799
"IFITM1",1.02552660252706,12.7316715155967,11.174674915536,2.33105298669956e-27,1.47491178124407e-24,51.2551756728613
"CEACAM1",1.42882636747294,9.05063389360082,11.0624228024787,7.11538492903329e-27,4.31831259223657e-24,50.1609508363589
"SAMD9L",1.46963752638528,9.49126003205761,11.059076382138,7.3551147013008e-27,4.37452801974566e-24,50.1284611612426
"LY6E",2.01246209623376,11.5752624253086,11.056950459773,7.51155951201987e-27,4.37997562291073e-24,50.1078249876053
"TMEM140",1.04799214214825,10.6091969125206,11.0305096465125,9.75672023716589e-27,5.47444049835546e-24,49.8514225272032
"LOC100170939",1.65852208499459,7.928265774393,10.7564551334595,1.42630042957007e-25,7.31298658181979e-23,47.2220205784104
"OAS2",1.67752974415584,11.3586593741358,10.6826445529078,2.91137646450733e-25,1.41931989018884e-22,46.52270362311
"PARP14",1.17769276664772,9.96312397061728,10.6423025743131,4.29312556690323e-25,2.05917690497691e-22,46.1420860556916
"MT2A",1.47821872629056,11.0035543396296,10.6311214303265,4.78008941720308e-25,2.25635395379024e-22,46.0367953773859
"DDX58",1.30738457268398,7.48876927573045,10.6038808102433,6.20812687179728e-25,2.88464495177355e-22,45.780641362993
"CARD16",1.0587550768804,8.59501426742798,10.5125560826803,1.48560531332146e-24,6.5938702697841e-22,44.9256733875312
"DDX60",1.61735110877704,8.34967493488683,10.3900266372697,4.74583865467827e-24,2.03758963212728e-21,43.787799599548
"SCO2",1.22500588325486,9.1465249482716,10.3258157537369,8.68557547026597e-24,3.6259943702962e-21,43.1957509215753
"IFI35",1.23761212938041,9.69173707205761,10.3246756019493,8.77905691913802e-24,3.6259943702962e-21,43.1852647911423
"SERPING1",2.22124574910985,7.00381066871399,10.2635592995667,1.55623639564753e-23,6.33963807311868e-21,42.6245267763331
"LOC153561",1.41850571567641,8.49376557028807,10.2214001809455,2.30625257164087e-23,9.14444519672749e-21,42.2392757913717
"SPATS2L",2.0142537618236,7.16080153483539,10.0838923118169,8.24593088075074e-23,3.02737645100945e-20,40.9916000616129
"TDRD7",1.03304789810606,8.23210612708848,9.93244191154264,3.30217074207058e-22,1.12873509801948e-19,39.6332446263207
"SLC26A8",1.54496673861741,6.83655569131687,9.92859948244226,3.41973675472258e-22,1.15563785922659e-19,39.598999067232
"IFIH1",1.35291720467262,9.12429753122428,9.9138204684481,3.91188400633031e-22,1.30709670314889e-19,39.4673819311065
"TOR1B",1.02873079384199,7.94510956065844,9.85750723779391,6.52002226913175e-22,2.13068595867516e-19,38.96733833118
"GBP1",1.3258328386066,10.2055393068004,9.74969639438585,1.72259335949694e-21,5.44962567284254e-19,38.0165057182404
"TRIM5",1.08552517882846,8.09949608319959,9.6296126192174,5.03226246606938e-21,1.45363342659518e-18,36.9675326534699
"DHRS9",1.22340176979708,9.98502986904321,9.5542289391422,9.80981946085197e-21,2.70115195487793e-18,36.3145012848519
"ABCA1",1.04383750646374,9.28099145590535,9.48779308739234,1.76044656101579e-20,4.55236172447717e-18,35.7424991663689
"HERC6",1.4748985326488,8.18800591825103,9.47095137919992,2.04068138528493e-20,5.14286296911891e-18,35.5980197880862
"PARP12",1.19016220266774,9.26052919597737,9.46527837436136,2.14468576709763e-20,5.33228677441523e-18,35.5494008759708
"DHX58",1.58748603684252,7.70592422111111,9.45364038598483,2.37475561196174e-20,5.74150263321286e-18,35.4497363296632
"RTP4",1.82428318936146,7.83975013312757,9.3766820604283,4.64678928409022e-20,1.08808047031713e-17,34.7932495116982
"FBXO6",1.22397486355789,7.97182114146091,9.28088690999138,1.06496903333415e-19,2.36343650099186e-17,33.9823200779137
"HIST1H2BC",1.03930990289502,7.77411474248971,9.18925093769457,2.33915439994862e-19,4.89871644687832e-17,33.2131116025156
"CCR1",1.01085923767315,9.21215348047325,9.01859473062681,9.95521174429787e-19,1.88565660415242e-16,31.7976808593834
"MT1A",1.16561995247023,10.3824275264609,8.92029290140434,2.26966230776011e-18,3.97030692401002e-16,30.9925216761396
"HBM",1.18269603167749,12.3764482952058,8.91023947732757,2.46821420513777e-18,4.2674275600225e-16,30.9105980650547
"HES4",1.80452306943993,8.93826499805555,8.84803907029702,4.13969752273676e-18,6.77024858394479e-16,30.4054792222087
"ANXA3",1.51871458216991,8.80190525328189,8.78131025026048,7.18551283427027e-18,1.13059672309804e-15,29.8669280855791
"TLR2",1.25473980604707,6.53974512503086,8.75002884935837,9.29414181797364e-18,1.42468654321083e-15,29.6156584238995
"NAIP",1.15011351378517,5.38270372575103,8.56446989534529,4.21009185766186e-17,5.99041682598796e-15,28.1409013603562
"OTOF",2.81845379843887,6.30465297502058,8.4290980072246,1.24600758178621e-16,1.56345035726406e-14,27.0821319329187
"LOC441019",1.22985910883927,6.76259236672839,8.33998428988594,2.52517824090883e-16,2.9917828895676e-14,26.3930955134816
"C10orf105",1.06225852334957,6.49302519273663,8.32939584698828,2.74511522779665e-16,3.22664966973189e-14,26.3116452426261
"PSG3",1.05691662374729,7.33779536918724,8.17289522628391,9.334655132866e-16,9.31523403829427e-14,25.1182491521081
"FCGR1B",1.15915091249999,9.1732684812963,8.17206357841562,9.39507365161216e-16,9.34417057697801e-14,25.111959932619
"KLHDC8B",1.27354748907738,7.5402991502572,8.13680010627835,1.23448331288047e-15,1.19970799864181e-13,24.8457974164592
"LCN2",1.36853062588473,9.63547099095679,8.0612938925038,2.20771166491253e-15,2.02632498429534e-13,24.2792636913005
"HBD",1.35054149615801,10.653676523107,8.03686922104117,2.66183258854012e-15,2.3914675987313e-13,24.0969887765709
"LOC284422",1.2132890673133,8.04776345302469,7.94503291936808,5.35507766898019e-15,4.49856778870432e-13,23.4159690127094
"USP18",1.72399110252434,5.4115921442284,7.91322207339812,6.81134939583303e-15,5.62655300925785e-13,23.18167221287
"DEFA1",1.72341245980248,12.0127867410391,7.89568565991865,7.77447099404964e-15,6.35157193464418e-13,23.0528637081362
"DEFA3",1.91923405401512,11.3941596428601,7.55711961016143,9.5117969207543e-14,6.03116880233244e-12,20.6154661471774
"DEFA1B",1.88711460182356,11.5432187168724,7.55102473302653,9.94186566977666e-14,6.26379663745378e-12,20.5724543986261
"CLEC4D",1.25487837645561,6.69475963766461,7.5490608299589,1.00844783593784e-13,6.34021601376732e-12,20.5586016328366
"HIST1H4H",1.11387994781116,7.95244116001029,7.30843763592959,5.63712628615502e-13,2.9205028135484e-11,18.8856177888969
"FCGR1A",1.12485656063853,8.4556841776749,7.29267788892152,6.29915508341164e-13,3.21310932882496e-11,18.7777333466308
"SIPA1L2",1.06884256444805,7.83899332558642,7.23622675020207,9.36019870550998e-13,4.56317359187632e-11,18.3930047438438
"LGALS3BP",1.37106118808983,6.16599302150206,7.19988705710935,1.20614457937698e-12,5.72062639577555e-11,18.1467587840763
"LOC389386",1.07223218846861,7.43585656951646,7.12818388480629,1.98273558387081e-12,9.05723360877884e-11,17.6641479432189
"ANKRD9",1.04483696638526,8.69123254915638,7.04591174688571,3.48855208957551e-12,1.49700666724093e-10,17.1157563833605
"LOC653600",2.26339531747833,9.35510161920782,7.02433735045828,4.04188120587927e-12,1.69770428390449e-10,16.9729001159974
"ARG1",1.60323486012715,6.5333386918107,7.01050539780343,4.44106189808917e-12,1.83683308380216e-10,16.8815188742834
"ELANE",1.77952535228624,6.68840292356996,6.94828100681011,6.77063519305362e-12,2.6668231704772e-10,16.4724435860209
"LOC100131967",1.04136512293831,6.23833855018519,6.78576465686612,2.00568650432761e-11,7.06695560020075e-10,15.4196114708418
"C19orf59",1.00192855172076,9.10124316604938,6.77900683303409,2.09731883953504e-11,7.35444196752549e-10,15.3763217879858
"CXCL10",1.31339581545185,6.7595354163786,6.69922134852868,3.5436590863474e-11,1.17613095881472e-09,14.8681928240849
"IFIT1L",1.07270576596049,9.43113387192387,6.6557435998549,4.70534279297682e-11,1.50459660190908e-09,14.5936025862996
"GYPE",1.06072156252705,8.86413887121399,6.52461388036521,1.09582524512725e-10,3.20744597830651e-09,13.7753197572223
"CAMP",1.34086007655032,9.67825591058642,6.44568567729857,1.8098921118758e-10,5.06803875922434e-09,13.2899713281567
"GYPB",1.32802828768397,8.19130067384774,6.42618139718207,2.04712395751418e-10,5.64725160005164e-09,13.170869246209
"LTF",1.60028069198592,6.43675258455761,6.28125957133523,5.0599895089176e-10,1.25186329464386e-08,12.2963000367358
"RAP1GAP",1.93396596983764,6.93614940333333,6.22331788241954,7.22899901453749e-10,1.7239452501549e-08,11.9517755777136
"XK",1.21560030048158,7.21697735059671,6.20976909961547,7.85460072049271e-10,1.85971430116252e-08,11.8716385252256
"CEACAM8",1.69720052596856,6.31728155723251,6.13169598395311,1.26325199300504e-09,2.82243334094544e-08,11.4130019092665
"SLC6A8",1.08550205712931,6.98251763914609,6.06201699246394,1.92189765275904e-09,4.10289966961582e-08,11.0082087251244
"OLFM4",1.75081197312227,6.2444666305144,6.00756062999465,2.66000072857579e-09,5.47047729366438e-08,10.6948336121602
"IL18R1",1.02477238467532,7.92208899432099,5.99882501401904,2.80169145406097e-09,5.7144513347644e-08,10.6448076073052
"IL1R2",1.02429098825216,9.71959076347737,5.94952714267932,3.75034805141375e-09,7.41541558197754e-08,10.3637614996052
"BPGM",1.10112815930194,8.57558067382716,5.94292965361863,3.89898373803455e-09,7.68376265087285e-08,10.3263127509671
"DEFA4",1.83574515872565,7.26987104160494,5.8938936384826,5.19869889645861e-09,9.97412308276685e-08,10.0491842237127
"CA1",1.18380750151784,9.91214919493827,5.89276753529723,5.2330304083993e-09,1.00270527245476e-07,10.0428450957216
"RUNDC3A",1.04626388819533,6.90264516131687,5.64852001862854,2.12511549541269e-08,3.49345962424447e-07,8.69461433263545
"TCN1",1.14198869048431,7.38936469745885,5.60752303906724,2.6749332476355e-08,4.29056984456227e-07,8.47354160749611
"CEACAM6",1.46608230817911,5.67835106705761,5.57859031091693,3.14376513728529e-08,4.94129427339271e-07,8.31843218693074
