id	group
GSM1863732	control
GSM1863741	control
GSM1863742	control
GSM1863743	control
GSM1863744	control
GSM1863745	control
GSM1863746	control
GSM1863747	control
GSM1863748	control
GSM1863749	control
GSM1863733	control
GSM1863734	control
GSM1863735	control
GSM1863736	control
GSM1863737	control
GSM1863738	control
GSM1863739	control
GSM1863740	control
GSM1863633	case
GSM1863642	case
GSM1863643	case
GSM1863644	case
GSM1863645	case
GSM1863646	case
GSM1863647	case
GSM1863648	case
GSM1863649	case
GSM1863650	case
GSM1863651	case
GSM1863634	case
GSM1863652	case
GSM1863653	case
GSM1863654	case
GSM1863655	case
GSM1863656	case
GSM1863657	case
GSM1863658	case
GSM1863659	case
GSM1863660	case
GSM1863661	case
GSM1863635	case
GSM1863662	case
GSM1863663	case
GSM1863664	case
GSM1863665	case
GSM1863666	case
GSM1863667	case
GSM1863668	case
GSM1863669	case
GSM1863670	case
GSM1863671	case
GSM1863636	case
GSM1863672	case
GSM1863673	case
GSM1863674	case
GSM1863675	case
GSM1863676	case
GSM1863677	case
GSM1863678	case
GSM1863679	case
GSM1863680	case
GSM1863681	case
GSM1863637	case
GSM1863682	case
GSM1863683	case
GSM1863684	case
GSM1863685	case
GSM1863686	case
GSM1863687	case
GSM1863688	case
GSM1863689	case
GSM1863690	case
GSM1863691	case
GSM1863638	case
GSM1863692	case
GSM1863693	case
GSM1863694	case
GSM1863695	case
GSM1863696	case
GSM1863697	case
GSM1863698	case
GSM1863699	case
GSM1863700	case
GSM1863701	case
GSM1863639	case
GSM1863702	case
GSM1863703	case
GSM1863704	case
GSM1863705	case
GSM1863706	case
GSM1863707	case
GSM1863708	case
GSM1863709	case
GSM1863710	case
GSM1863711	case
GSM1863640	case
GSM1863712	case
GSM1863713	case
GSM1863714	case
GSM1863715	case
GSM1863716	case
GSM1863717	case
GSM1863718	case
GSM1863719	case
GSM1863720	case
GSM1863721	case
GSM1863641	case
GSM1863722	case
GSM1863723	case
GSM1863724	case
GSM1863725	case
GSM1863726	case
GSM1863727	case
GSM1863728	case
GSM1863729	case
GSM1863730	case
GSM1863731	case
