"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100652936",1.01086503949298,12.5252542203301,8.2333608438771,3.14468945836597e-13,1.64432111694809e-09,19.1303692251904
"LOC100653100",1.01086503949298,12.5252542203301,8.2333608438771,3.14468945836597e-13,1.64432111694809e-09,19.1303692251904
"TRIM56",1.08126385676719,3.6229090919491,7.67114274304097,5.90178922773151e-12,1.0454900346655e-08,16.225950439243
"IFITM1",1.49427422032599,9.94211094302403,7.39336399483529,2.45775426328395e-11,3.08576899551164e-08,14.8150129862656
"ODF3B",1.35564619995115,5.75894583788631,7.10946201881135,1.03748649876065e-10,8.045402654801e-08,13.3923566862949
"RNF213",1.29064427181254,5.37674453009966,7.06429062365619,1.30229236215342e-10,9.60605330629323e-08,13.1679615973663
"CARD16",1.12630797617974,4.32811762630525,6.8962104416162,3.02018125479381e-10,1.89595473723556e-07,12.3380501982172
"IFI44",3.51128843102758,6.0896335442922,6.811198988118,4.60829775369559e-10,2.43004757147876e-07,11.9214467502337
"TRIM22",1.5634823085075,7.42522407557497,6.73726802093413,6.64368527970163e-10,3.12798939436809e-07,11.5609345387864
"LOC100294362",1.29065276559909,2.87169874599854,6.67121793321922,9.19940542154874e-10,3.912121344267e-07,11.240300195651
"PLD4",-1.08291479149615,2.51997043675026,-6.63640949519239,1.09150479016789e-09,4.42339186557318e-07,11.071887184633
"SMTNL1",2.3038953250593,2.95535973775748,6.54881510819852,1.6757433063244e-09,5.89101973527322e-07,10.6498344243347
"IFI44L",3.71573219867014,4.9143469408188,6.52532547237015,1.87914330157168e-09,6.299083781098e-07,10.537089285665
"EIF2AK2",1.90756649858743,3.81938225715004,6.51790196837725,1.94835335015248e-09,6.42128555376503e-07,10.5014967880093
"IFIT3",2.570317403489,7.68124434958375,6.51454967433916,1.98042578552894e-09,6.44640818040199e-07,10.485430101815
"TNFSF10",1.09164498247693,6.69692799076424,6.4791553699851,2.35250952653789e-09,7.2972077854939e-07,10.3160277316041
"NTNG2",1.58222973378599,4.68708891627289,6.43833385999142,2.86783559791923e-09,8.21884275812374e-07,10.1211844423502
"IFI6",2.72101481951349,8.17191874912363,6.41265037084046,3.24756080603834e-09,8.82733899092855e-07,9.99889260916
"CHMP5",1.33159985308026,3.86761713152338,6.40160612722329,3.42571059174049e-09,9.21655974100303e-07,9.94637660441857
"IFITM3",2.32156626725841,8.04597353239659,6.39253479475095,3.579215909524e-09,9.5322835020717e-07,9.9032740623883
"ZBP1",1.6416756437526,5.38967323079345,6.35611904759065,4.2667003332689e-09,1.03375917734178e-06,9.73053799611931
"SAMD9L",1.57249034686854,5.17376872542199,6.29415169822058,5.74771718714132e-09,1.32781652742117e-06,9.43769364262346
"PRIC285",1.48103855154286,4.66722979017598,6.28857697445624,5.90349573875743e-09,1.34182386765585e-06,9.41141706687311
"XAF1",2.11826398266358,5.83782157883146,6.28677127469122,5.95484003163956e-09,1.34192574593341e-06,9.40290830207162
"PARP9",1.28621362885165,5.21368192417995,6.276791747602,6.24663894388219e-09,1.38402422180166e-06,9.35590463104544
"HERC5",2.55870793464066,5.15013656872704,6.22136608772944,8.14267167503062e-09,1.67726313581138e-06,9.09551868674645
"SIGLEC1",2.91615537298975,3.52217716519673,6.21644515458502,8.33615074559174e-09,1.69069961967901e-06,9.0724557433159
"CSTA",1.12434141977714,5.43533413525591,6.12741225902875,1.27305960707728e-08,2.17957724676621e-06,8.65676720280369
"EPSTI1",2.5230800439397,5.963091750309,6.11267698177126,1.36509912324292e-08,2.24915436575054e-06,8.58826177026841
"IFIT1",3.13284799765471,6.87487456108413,6.11085173965169,1.3769461971037e-08,2.24915436575054e-06,8.57978192896682
"RSAD2",3.72072073025587,5.89280202882448,6.10853005459233,1.39216179652663e-08,2.24915436575054e-06,8.56899754408427
"IFIT5",1.66256642318837,4.3285228637163,6.10749420296493,1.39900370167295e-08,2.24915436575054e-06,8.56418661759504
"OASL",2.27782937974962,6.13851944745365,6.09055577501582,1.51569310521917e-08,2.4073954465186e-06,8.48557669342662
"GATA2",-1.19631142005044,1.8911585346819,-6.07359000710486,1.64215674932322e-08,2.56195886702107e-06,8.40695213159561
"AIM2",1.31016045330568,3.7573484186548,6.06344105999459,1.72271039290196e-08,2.6561977905996e-06,8.35997275286001
"ISG15",3.1107201874773,8.40671368949152,6.00348963575688,2.28419018559514e-08,3.38342463108998e-06,8.08328965211226
"LOC100505869",1.1532170200141,2.65590478757488,5.89160607139101,3.85319894205573e-08,5.10519815609253e-06,7.57080981597706
"DDX60",1.89975754065197,3.87358844950942,5.88980785393808,3.88556654495908e-08,5.12234237621955e-06,7.56261508558462
"LOC100506285",2.47616301884583,2.93046150684422,5.88350036605139,4.00122541260236e-08,5.22258956577593e-06,7.53388159700964
"RTP4",1.91347382996835,4.53235114554869,5.86470835386185,4.36622347877591e-08,5.56547176131113e-06,7.44837366520739
"IFIT2",1.91236911098747,7.41827135189524,5.86454856453833,4.36946315175379e-08,5.56547176131113e-06,7.44764721995199
"SAMD9",1.2262498440828,4.39851250442616,5.8411548977991,4.87013483854312e-08,6.02844953770084e-06,7.34140889873008
"CARD17",1.096839016788,2.33536032232412,5.8112334364864,5.59325681748454e-08,6.7338725684839e-06,7.20586215668991
"HERC6",1.55781143797327,3.58857530996819,5.79870012643521,5.92657120707891e-08,7.03873767774066e-06,7.1491981660215
"PTGDR2",-1.13695457498781,2.07562806208639,-5.79557224565401,6.01274878458101e-08,7.10906432530327e-06,7.13506724020781
"OAS1",2.36305587411866,6.89160069686432,5.78428718536634,6.33401258890946e-08,7.26660182648437e-06,7.08411914679176
"STAT2",1.15315939387505,6.05203475187419,5.78037298032878,6.44932992414002e-08,7.33850799881717e-06,7.06646062709818
"PARP14",1.33847521498859,5.7591914442092,5.75808201530599,7.14639925498609e-08,7.81833870360844e-06,6.96602291050542
"OAS3",2.78026288795871,5.8382594685261,5.74604513313574,7.55301094371914e-08,8.14196845060287e-06,6.91187680296867
"CMPK2",2.58119396607132,4.15659119656554,5.73906075193044,7.7992623516874e-08,8.35916061644675e-06,6.88048740362467
"DHX58",1.42680573881349,4.56227244828756,5.73286429457642,8.02431438952627e-08,8.53101101589717e-06,6.85265685759313
"TNFAIP6",1.5683514620246,5.12109031344057,5.70362557246652,9.17513813241563e-08,9.42104077657243e-06,6.72156114356904
"ZCCHC2",1.44427638080208,4.00430689823154,5.67444182256371,1.0484725297328e-07,1.02385284144204e-05,6.59108622683951
"USP18",1.9471932298762,2.07459938491847,5.64088464283193,1.22179146006842e-07,1.14639692655388e-05,6.44152493915365
"ND4L",-1.03743911542896,8.39868007447737,-5.63321417009907,1.26518921677694e-07,1.1829070528206e-05,6.4074088738035
"IRF7",1.56823672373141,6.73998282273762,5.61586583925941,1.36898931599408e-07,1.24365230800275e-05,6.33034582103253
"OAS2",2.16642610703406,5.79419120032159,5.6064122441997,1.42901875460611e-07,1.28592179126091e-05,6.2884090087505
"TIMM10",1.39669310724595,4.62982354728656,5.5985420524945,1.48095445144809e-07,1.32309777168484e-05,6.25352706981578
"LOC400499",1.01727959791831,2.54135372560529,5.58701373970558,1.56038348453446e-07,1.38522124421668e-05,6.20248239133546
"AGRN",1.21633496981948,1.76108140071963,5.57643127691208,1.63695974508411e-07,1.43866935462959e-05,6.1556788459528
"DDX58",1.31120977244412,4.78935611713627,5.51861884988856,2.12491356579538e-07,1.78995115258022e-05,5.90089384894681
"MX1",2.40233349102824,6.73105084664542,5.51291686573008,2.18013134660709e-07,1.80758940517744e-05,5.87584809363998
"IFI27",4.50087799477784,6.13868636034999,5.50443950926994,2.26483078465699e-07,1.83797803601532e-05,5.83863950197372
"PARP12",1.25397507171359,5.17977762074502,5.49636375881213,2.34850863403632e-07,1.89193604047432e-05,5.80322470392462
"PLSCR1",1.50944684281301,5.72017501915507,5.47859149527288,2.54345500909241e-07,2.00597364453703e-05,5.72539466666597
"CYTB",-1.13089614355957,8.97091100275705,-5.4632042662049,2.72496087242081e-07,2.11857980410991e-05,5.65812885657672
"PARP10",1.08828634796833,6.10754850405435,5.45104631687642,2.87728011650315e-07,2.19890920439774e-05,5.60505868941116
"S100A8",1.4916271143865,9.89981691854994,5.44205257973753,2.99528501349644e-07,2.25639099045278e-05,5.56584537139795
"DDX60L",1.28265819088084,5.21001594866745,5.42152960883806,3.28256689455246e-07,2.43797630258507e-05,5.47650724883724
"BATF2",1.73453756660331,3.73399504181795,5.38924040392386,3.78991603786696e-07,2.73766921244932e-05,5.33635591676843
"APOBEC3A",1.03264881540223,6.83114204569142,5.31132515527843,5.35068135632218e-07,3.58061077768504e-05,5.00023444720922
"CEACAM1",1.10831310758956,3.70606872575199,5.30696976017286,5.45439407831889e-07,3.63157965325646e-05,4.98153282399066
"ND4",-1.0678223919369,8.81506594251117,-5.3002991199244,5.61705511886239e-07,3.70312327483187e-05,4.95290783317058
"SPATS2L",1.62683483660078,2.16118410101833,5.3002597856023,5.61802817997704e-07,3.70312327483187e-05,4.95273910695453
"TNFSF13B",1.02590864681847,5.69574074754111,5.29709967624785,5.69674384143749e-07,3.71783039909259e-05,4.93918617320994
"BCL2A1",1.25116397440283,4.46584917625207,5.2750960061764,6.27548510144452e-07,4.04546308520015e-05,4.84495434829964
"IFIH1",1.34768165520432,4.48166849717698,5.26525166875868,6.55263425020128e-07,4.20357067252572e-05,4.80287302222441
