"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRSS22",-0.200246090484073,0.102822971590275,-8.77615585422709,1.77267599510699e-14,4.6738375286991e-10,21.9837743321988
"CHST14",-0.476949565004769,2.16974501277528,-8.38365822614311,1.42371297778304e-13,1.64432111694809e-09,19.9162165933381
"LOC100652936",1.01086503949298,12.5252542203301,8.2333608438771,3.14468945836597e-13,1.64432111694809e-09,19.1303692251904
"LOC100653100",1.01086503949298,12.5252542203301,8.2333608438771,3.14468945836597e-13,1.64432111694809e-09,19.1303692251904
"BAG3",-0.679812212918259,1.80659477700312,-8.21969988187923,3.37900128663449e-13,1.64432111694809e-09,19.0591199568693
"ST13",-0.373764706807334,1.89400238628463,-8.18302948892199,4.09738844433944e-13,1.64432111694809e-09,18.8680166809281
"TNFRSF21",-0.292420731083953,0.336689326694908,-8.17096086057751,4.36556467368452e-13,1.64432111694809e-09,18.8051716521784
"HNRNPA0",-0.46340776516919,4.65863236609247,-8.09181565072426,6.61236962265215e-13,2.17927171838558e-09,18.393655224004
"B2M",0.991477745819867,12.6917301872313,8.05227795905926,8.13341933269909e-13,2.38273037917716e-09,18.188488554797
"PABPC1",-0.563550310645258,6.03370347188921,-7.87829664288628,2.01643028662062e-12,5.31652009370392e-09,17.2890842284065
"SGK223",-0.730812022686513,2.02143799590315,-7.85066360035234,2.32808479260132e-12,5.58020760379332e-09,17.1467657763395
"HNRNPD",-0.416518835880201,5.56751735449928,-7.79914618670415,3.0422939021213e-12,6.68442675194419e-09,16.8818408865473
"TRIM56",1.08126385676719,3.6229090919491,7.67114274304097,5.90178922773151e-12,1.0454900346655e-08,16.225950439243
"LUC7L2",-0.344841099703266,4.12906714901381,-7.65292644094471,6.48374265604582e-12,1.0454900346655e-08,16.1328918069619
"LOC100129148",-0.376067184559262,3.977474498376,-7.65059853433616,6.56210252627456e-12,1.0454900346655e-08,16.1210047869984
"KRT81",-0.143564579864904,0.0948563830616716,-7.64878400472598,6.62383279336944e-12,1.0454900346655e-08,16.111740046693
"TSPYL1",-0.387068897198115,3.32193301838139,-7.64538552134321,6.74100378871025e-12,1.0454900346655e-08,16.0943897802107
"SALL2",-0.256107987102893,0.417393140572477,-7.61414360609375,7.91923369939412e-12,1.15999175399014e-08,15.9350087869802
"KCNK10",-0.0461050886198636,0.0390282062434468,-7.50019111359149,1.42269736659654e-11,1.97425467198339e-08,15.3555270283613
"SCAF4",-0.38764278133104,2.96785426317185,-7.43093366141956,2.02844350006052e-11,2.67409706612978e-08,15.0047950351714
"IFITM1",1.49427422032599,9.94211094302403,7.39336399483529,2.45775426328395e-11,3.08576899551164e-08,14.8150129862656
"PTBP1",-0.460713329178145,5.16685407037764,-7.34993482940662,3.06722950609084e-11,3.58672310171223e-08,14.5960592253755
"EPHA2",-0.132730557179162,0.128723854229157,-7.34603272131617,3.12882619052497e-11,3.58672310171223e-08,14.5764089479069
"SERPINH1",-0.480259937064326,1.34099875035986,-7.32915138693149,3.40974197941988e-11,3.74588570955769e-08,14.4914412634665
"GPR126",-0.0429043590609579,0.041717291444889,-7.28932188449802,4.17549240307815e-11,4.24359687293731e-08,14.2912526362265
"NAT8L",-0.0799383457987289,0.0636649118928068,-7.28888894023043,4.18468932323333e-11,4.24359687293731e-08,14.2890787955356
"CPT1B",0.761107260484947,4.34473488025381,7.26639167291583,4.69125630513504e-11,4.58109865708112e-08,14.1761841796342
"FBLN2",-0.3484917508145,0.322656852331408,-7.23302421714076,5.55645047527003e-11,5.23219190110605e-08,14.0089801924826
