"Name"	"Score"	"adjustedPval"
"IFI44"	"IFI44"	1.8412869458757e-07	0.00547561911964515
"IFI44L"	"IFI44L"	4.14289562822032e-07	0.0123201430192016
"EIF2AK2"	"EIF2AK2"	5.08849086899262e-07	0.0151321541462102
"IFIT3"	"IFIT3"	5.63894127174433e-07	0.0167690835539133
"IFITM3"	"IFITM3"	1.03860091790801e-06	0.0308859140967484
"ZBP1"	"ZBP1"	1.15080434117231e-06	0.0342226194977822
"TRIM22"	"TRIM22"	1.1963607420876e-06	0.0355773757482009
"PRIC285"	"PRIC285"	1.3924732528185e-06	0.0414093695923165
"XAF1"	"XAF1"	1.52193874120038e-06	0.0452594142858169
"ODF3B"	"ODF3B"	1.52880881219512e-06	0.0454637164570583
"PARP9"	"PARP9"	1.65715825128813e-06	0.0492805720768064
