ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0009615	response to virus	7/9	323/18670	1.51987462563248e-11	2.79656931116377e-09	1.31189178212488e-09	IFI44/IFI44L/EIF2AK2/IFIT3/IFITM3/TRIM22/PARP9	7
BP	GO:0051607	defense response to virus	6/9	238/18670	3.2785787216779e-10	3.01629242394367e-08	1.41496555356625e-08	IFI44L/EIF2AK2/IFIT3/IFITM3/TRIM22/PARP9	6
BP	GO:0060337	type I interferon signaling pathway	4/9	95/18670	7.77269277407598e-08	3.14557781919768e-06	1.47561430877694e-06	IFIT3/IFITM3/ZBP1/XAF1	4
BP	GO:0071357	cellular response to type I interferon	4/9	95/18670	7.77269277407598e-08	3.14557781919768e-06	1.47561430877694e-06	IFIT3/IFITM3/ZBP1/XAF1	4
BP	GO:0034340	response to type I interferon	4/9	99/18670	9.18290235976271e-08	3.14557781919768e-06	1.47561430877694e-06	IFIT3/IFITM3/ZBP1/XAF1	4
BP	GO:0035455	response to interferon-alpha	3/9	21/18670	1.02573189756446e-07	3.14557781919768e-06	1.47561430877694e-06	EIF2AK2/IFIT3/IFITM3	3
BP	GO:0035456	response to interferon-beta	2/9	28/18670	7.75774577910554e-05	0.00203917889050774	0.000956594216370909	IFITM3/XAF1	2
BP	GO:0034341	response to interferon-gamma	3/9	199/18670	9.55706555086248e-05	0.00219812507669837	0.00103115707259306	IFITM3/TRIM22/PARP9	3
BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	2/9	50/18670	0.000250028959738868	0.00511170317688353	0.00239793856123827	ZBP1/PARP9	2
BP	GO:0060760	positive regulation of response to cytokine stimulus	2/9	57/18670	0.000325182162295309	0.00582843167800058	0.00273416131347853	ZBP1/PARP9	2
BP	GO:0045071	negative regulation of viral genome replication	2/9	59/18670	0.000348438850315252	0.00582843167800058	0.00273416131347853	EIF2AK2/IFITM3	2
BP	GO:1903901	negative regulation of viral life cycle	2/9	85/18670	0.000722303953319579	0.0110753272842335	0.00519551966422855	EIF2AK2/IFITM3	2
BP	GO:0060333	interferon-gamma-mediated signaling pathway	2/9	91/18670	0.000827282272832836	0.0117092260154801	0.00549288634593462	TRIM22/PARP9	2
BP	GO:0045069	regulation of viral genome replication	2/9	95/18670	0.000901128269938337	0.0118434001191896	0.00555582843119877	EIF2AK2/IFITM3	2
BP	GO:0048525	negative regulation of viral process	2/9	101/18670	0.00101766423104328	0.0124833479007976	0.0058560327681087	EIF2AK2/IFITM3	2
BP	GO:0019079	viral genome replication	2/9	122/18670	0.00147960574519029	0.0170154660696884	0.0079820836253687	EIF2AK2/IFITM3	2
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	2/9	149/18670	0.00219540059682714	0.0224418727675664	0.0105276519847851	EIF2AK2/TRIM22	2
BP	GO:1903900	regulation of viral life cycle	2/9	149/18670	0.00219540059682714	0.0224418727675664	0.0105276519847851	EIF2AK2/IFITM3	2
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	2/9	177/18670	0.0030796922226897	0.0292825246163972	0.013736653424168	ZBP1/PARP9	2
BP	GO:0071346	cellular response to interferon-gamma	2/9	180/18670	0.00318288311047795	0.0292825246163972	0.013736653424168	TRIM22/PARP9	2
BP	GO:0060759	regulation of response to cytokine stimulus	2/9	190/18670	0.00353853155564316	0.0310042764875401	0.0145443402287087	ZBP1/PARP9	2
BP	GO:0051701	interaction with host	2/9	202/18670	0.00398887103406685	0.032787991750883	0.0153810945284463	EIF2AK2/IFITM3	2
BP	GO:0050792	regulation of viral process	2/9	208/18670	0.00422360846495753	0.032787991750883	0.0153810945284463	EIF2AK2/IFITM3	2
BP	GO:0045089	positive regulation of innate immune response	2/9	214/18670	0.00446468393297699	0.032787991750883	0.0153810945284463	ZBP1/PARP9	2
BP	GO:0043903	regulation of interspecies interactions between organisms	2/9	222/18670	0.00479592486490256	0.032787991750883	0.0153810945284463	EIF2AK2/IFITM3	2
BP	GO:0010998	regulation of translational initiation by eIF2 alpha phosphorylation	1/9	10/18670	0.0048112813982274	0.032787991750883	0.0153810945284463	EIF2AK2	1
