factor_name_list,factor_name_ROC
EIF2AK2,0.898
IFI44,0.874
IFI44L,0.872
IFIT3,0.695
IFITM3,0.605
PARP9,0.81
PRIC285,0.912
TRIM22,0.5
XAF1,0.872
ZBP1,0.897
EIF2AK2;IFI44,0.906
EIF2AK2;IFI44L,0.902
EIF2AK2;IFIT3,0.772
EIF2AK2;IFITM3,0.698
EIF2AK2;PARP9,0.87
EIF2AK2;PRIC285,0.919
EIF2AK2;TRIM22,0.5
EIF2AK2;XAF1,0.9
EIF2AK2;ZBP1,0.916
IFI44;IFI44L,0.893
IFI44;IFIT3,0.84
IFI44;IFITM3,0.696
IFI44;PARP9,0.858
IFI44;PRIC285,0.916
IFI44;TRIM22,0.622
IFI44;XAF1,0.879
IFI44;ZBP1,0.907
IFI44L;IFIT3,0.835
IFI44L;IFITM3,0.695
IFI44L;PARP9,0.871
IFI44L;PRIC285,0.926
IFI44L;TRIM22,0.569
IFI44L;XAF1,0.858
IFI44L;ZBP1,0.918
IFIT3;IFITM3,0.551
IFIT3;PARP9,0.77
IFIT3;PRIC285,0.758
IFIT3;TRIM22,0.5
IFIT3;XAF1,0.695
IFIT3;ZBP1,0.766
IFITM3;PARP9,0.681
IFITM3;PRIC285,0.707
IFITM3;TRIM22,0.5
IFITM3;XAF1,0.652
IFITM3;ZBP1,0.684
PARP9;PRIC285,0.809
PARP9;TRIM22,0.579
PARP9;XAF1,0.811
PARP9;ZBP1,0.813
PRIC285;TRIM22,0.5
PRIC285;XAF1,0.922
PRIC285;ZBP1,0.897
TRIM22;XAF1,0.5
TRIM22;ZBP1,0.5
XAF1;ZBP1,0.897
EIF2AK2;IFI44;IFI44L,0.905
EIF2AK2;IFI44;IFIT3,0.884
EIF2AK2;IFI44;IFITM3,0.696
EIF2AK2;IFI44;PARP9,0.877
EIF2AK2;IFI44;PRIC285,0.937
EIF2AK2;IFI44;TRIM22,0.769
EIF2AK2;IFI44;XAF1,0.911
EIF2AK2;IFI44;ZBP1,0.905
EIF2AK2;IFI44L;IFIT3,0.898
EIF2AK2;IFI44L;IFITM3,0.694
EIF2AK2;IFI44L;PARP9,0.89
EIF2AK2;IFI44L;PRIC285,0.923
EIF2AK2;IFI44L;TRIM22,0.693
EIF2AK2;IFI44L;XAF1,0.882
EIF2AK2;IFI44L;ZBP1,0.919
EIF2AK2;IFIT3;IFITM3,0.702
EIF2AK2;IFIT3;PARP9,0.866
EIF2AK2;IFIT3;PRIC285,0.846
EIF2AK2;IFIT3;TRIM22,0.5
EIF2AK2;IFIT3;XAF1,0.796
EIF2AK2;IFIT3;ZBP1,0.847
EIF2AK2;IFITM3;PARP9,0.728
EIF2AK2;IFITM3;PRIC285,0.7
EIF2AK2;IFITM3;TRIM22,0.5
