factor_name_list,factor_name_ROC
EIF2AK2,0.869
IFI44,0.769
IFI44L,0.852
IFIT3,0.5
IFITM3,0.5
PARP9,0.495
PRIC285,0.684
TRIM22,0.5
XAF1,0.461
ZBP1,0.449
EIF2AK2;IFI44,0.89
EIF2AK2;IFI44L,0.883
EIF2AK2;IFIT3,0.879
EIF2AK2;IFITM3,0.879
EIF2AK2;PARP9,0.873
EIF2AK2;PRIC285,0.851
EIF2AK2;TRIM22,0.808
EIF2AK2;XAF1,0.865
EIF2AK2;ZBP1,0.877
IFI44;IFI44L,0.857
IFI44;IFIT3,0.818
IFI44;IFITM3,0.811
IFI44;PARP9,0.809
IFI44;PRIC285,0.845
IFI44;TRIM22,0.807
IFI44;XAF1,0.825
IFI44;ZBP1,0.856
IFI44L;IFIT3,0.872
IFI44L;IFITM3,0.875
IFI44L;PARP9,0.874
IFI44L;PRIC285,0.824
IFI44L;TRIM22,0.871
IFI44L;XAF1,0.886
IFI44L;ZBP1,0.861
IFIT3;IFITM3,0.5
IFIT3;PARP9,0.522
IFIT3;PRIC285,0.54
IFIT3;TRIM22,0.5
IFIT3;XAF1,0.577
IFIT3;ZBP1,0.528
IFITM3;PARP9,0.522
IFITM3;PRIC285,0.548
IFITM3;TRIM22,0.5
IFITM3;XAF1,0.56
IFITM3;ZBP1,0.528
PARP9;PRIC285,0.536
PARP9;TRIM22,0.522
PARP9;XAF1,0.597
PARP9;ZBP1,0.445
PRIC285;TRIM22,0.596
PRIC285;XAF1,0.648
PRIC285;ZBP1,0.552
TRIM22;XAF1,0.535
TRIM22;ZBP1,0.449
XAF1;ZBP1,0.604
EIF2AK2;IFI44;IFI44L,0.866
EIF2AK2;IFI44;IFIT3,0.9
EIF2AK2;IFI44;IFITM3,0.91
EIF2AK2;IFI44;PARP9,0.751
EIF2AK2;IFI44;PRIC285,0.809
EIF2AK2;IFI44;TRIM22,0.753
EIF2AK2;IFI44;XAF1,0.753
EIF2AK2;IFI44;ZBP1,0.915
EIF2AK2;IFI44L;IFIT3,0.882
