factor_name_list,factor_name_ROC
EIF2AK2,0.785
IFI44,0.551
IFI44L,0.761
IFIT3,0.5
IFITM3,0.5
PARP9,0.371
PRIC285,0.524
TRIM22,0.5
XAF1,0.418
ZBP1,0.711
EIF2AK2;IFI44,0.853
EIF2AK2;IFI44L,0.843
EIF2AK2;IFIT3,0.5
EIF2AK2;IFITM3,0.5
EIF2AK2;PARP9,0.745
EIF2AK2;PRIC285,0.484
EIF2AK2;TRIM22,0.5
EIF2AK2;XAF1,0.745
EIF2AK2;ZBP1,0.485
IFI44;IFI44L,0.832
IFI44;IFIT3,0.472
IFI44;IFITM3,0.505
IFI44;PARP9,0.414
IFI44;PRIC285,0.666
IFI44;TRIM22,0.5
IFI44;XAF1,0.653
IFI44;ZBP1,0.499
IFI44L;IFIT3,0.5
IFI44L;IFITM3,0.505
IFI44L;PARP9,0.717
IFI44L;PRIC285,0.555
IFI44L;TRIM22,0.5
IFI44L;XAF1,0.77
IFI44L;ZBP1,0.684
IFIT3;IFITM3,0.5
IFIT3;PARP9,0.472
IFIT3;PRIC285,0.505
IFIT3;TRIM22,0.5
IFIT3;XAF1,0.5
IFIT3;ZBP1,0.478
IFITM3;PARP9,0.472
IFITM3;PRIC285,0.478
IFITM3;TRIM22,0.5
IFITM3;XAF1,0.478
IFITM3;ZBP1,0.478
PARP9;PRIC285,0.37
PARP9;TRIM22,0.5
PARP9;XAF1,0.613
PARP9;ZBP1,0.772
PRIC285;TRIM22,0.5
PRIC285;XAF1,0.799
PRIC285;ZBP1,0.527
TRIM22;XAF1,0.5
TRIM22;ZBP1,0.5
XAF1;ZBP1,0.789
EIF2AK2;IFI44;IFI44L,0.831
EIF2AK2;IFI44;IFIT3,0.5
EIF2AK2;IFI44;IFITM3,0.505
EIF2AK2;IFI44;PARP9,0.79
EIF2AK2;IFI44;PRIC285,0.857
EIF2AK2;IFI44;TRIM22,0.5
EIF2AK2;IFI44;XAF1,0.774
EIF2AK2;IFI44;ZBP1,0.695
EIF2AK2;IFI44L;IFIT3,0.5
EIF2AK2;IFI44L;IFITM3,0.505
EIF2AK2;IFI44L;PARP9,0.769
EIF2AK2;IFI44L;PRIC285,0.521
EIF2AK2;IFI44L;TRIM22,0.5
EIF2AK2;IFI44L;XAF1,0.777
EIF2AK2;IFI44L;ZBP1,0.351
EIF2AK2;IFIT3;IFITM3,0.5
EIF2AK2;IFIT3;PARP9,0.5
EIF2AK2;IFIT3;PRIC285,0.495
EIF2AK2;IFIT3;TRIM22,0.5
EIF2AK2;IFIT3;XAF1,0.5
EIF2AK2;IFIT3;ZBP1,0.5
EIF2AK2;IFITM3;PARP9,0.5
EIF2AK2;IFITM3;PRIC285,0.505
EIF2AK2;IFITM3;TRIM22,0.5
EIF2AK2;IFITM3;XAF1,0.495
EIF2AK2;IFITM3;ZBP1,0.505
EIF2AK2;PARP9;PRIC285,0.368
EIF2AK2;PARP9;TRIM22,0.5
EIF2AK2;PARP9;XAF1,0.314
EIF2AK2;PARP9;ZBP1,0.752
