id	EIF2AK2	IFI44	IFI44L	IFIT3	IFITM3	PARP9	PRIC285	TRIM22	XAF1	ZBP1	group
GSM1863732	3.06	6.63	1.61	28.7	23.2	12.1	7.99	64.6	15	13	0
GSM1863741	3.04	10.7	4.02	43	34.1	13.3	8.77	63.8	18	14.1	0
GSM1863742	1.87	8.52	2.01	22.2	38	9.3	6.13	58.4	21.9	8.77	0
GSM1863743	6.73	15.1	5.53	111	391	35.7	15.2	110	25.4	20.6	0
GSM1863744	2.46	5.89	1.71	30.4	71.6	12.8	10.1	44	11.8	12.4	0
GSM1863745	4.98	7.56	2.92	67.2	69.2	18.5	12.6	75.7	20.3	18.3	0
GSM1863746	3.18	7.3	2.3	53.1	25.3	18.2	10.9	57.5	13.6	16.7	0
GSM1863747	3.11	4.02	1.2	32	25.4	15.6	9.55	52.2	8.8	13.2	0
GSM1863748	4.69	6.21	1.77	72.6	137	30.3	8.74	84.2	14.6	21.4	0
GSM1863749	4.4	34.6	9.17	119	183	25.3	16.8	148	28.6	28.2	0
GSM1863733	3.09	7.99	2.19	24.1	70.7	11.1	7.09	62.3	12.2	10.4	0
GSM1863734	5.33	5.52	1.51	31.7	108	15.9	9.12	60.1	13.8	14.8	0
GSM1863735	2.93	3.52	0.969	36.1	85.1	14.5	12.5	55.8	10.8	16.9	0
GSM1863736	3.5	3.63	1.16	29.5	35.5	12	10.5	45.2	8.87	11.9	0
GSM1863737	5.23	12.6	5.29	90.2	288	23.5	14.2	87	24.5	21.3	0
GSM1863738	3.93	6.79	2.1	61	31.8	23.9	10	87.2	16.2	18.8	0
GSM1863739	2.81	6.12	1.77	29.8	70.7	12.6	6.06	60.1	13	11.3	0
GSM1863740	3.18	8.9	2.8	36	45.1	12.2	5.31	62.2	17	10.1	0
GSM1863633	23.3	236	108	619	978	54.1	46.4	249	138	73.4	1
GSM1863642	3.54	14.2	3.38	31.3	91.2	17.3	8.79	66.8	16.5	12.3	1
GSM1863643	2.3	9.32	2.25	31.8	61.4	11.7	8.73	67.7	19	15.7	1
GSM1863644	2.73	7.23	1.66	35.2	85.6	13.8	9.56	59.6	10.5	14.2	1
GSM1863645	2.89	6.93	2.01	73.8	231	20.9	12.6	71.6	20.6	22.5	1
GSM1863646	2.33	6.37	0.887	32.9	75.5	16.3	9.85	47.5	12.3	15.1	1
GSM1863647	2.72	5.21	1.56	39.6	33.9	16	11.6	63	14.9	16	1
GSM1863648	2.59	5.95	1.8	27.9	46	9.73	9.42	62.1	12.6	16.2	1
GSM1863649	3.33	4.35	0.747	56	42.5	24.7	9.86	65.4	10	17.4	1
GSM1863650	5.86	2.28	0.493	30.4	328	19.7	14.6	47.2	7.42	20.4	1
GSM1863651	2.67	19	4.49	74.5	155	23.9	20.8	125	29.2	30.6	1
GSM1863634	32.7	499	189	865	966	74.9	48	352	179	112	1
GSM1863652	3.73	10.9	5.2	41.9	191	14.5	13.4	70.6	23.5	15.1	1
GSM1863653	4.41	7.32	2.7	54.2	451	17.4	8.54	47.5	18.4	22.2	1
GSM1863654	6.67	5.92	1.17	63.6	34.5	22	13.4	71.9	12.3	19.6	1
GSM1863655	4.26	18.4	5.54	47	74.4	13.6	11.4	86.9	19	15	1
GSM1863656	5.93	14.3	3.08	65.4	37.4	22.9	14.8	103	18	23	1
