EIF2AK2,IFI44,IFI44L,IFIT3,IFITM3,PARP9,PRIC285,TRIM22,XAF1,ZBP1
0,4.98281221760278e-312,8.11230577218508e-290,4.68281212542097e-314,2.01739037156154e-195,3.78175177381098e-237,6.65515576152976e-273,2.28820083729763e-178,1.23568891287097e-275,1.1350532539779e-305
1.55020824547642e-312,0,0,0,4.94236222517854e-247,5.64108644703465e-266,3.03919658985178e-244,5.5173399533343e-256,0,1.96113613615419e-315
3.24492230887403e-290,0,0,0,4.57371133038839e-246,1.43941214538647e-261,3.08448760595101e-249,8.3328664979683e-253,0,1.39998441405576e-317
1.24874990011226e-314,0,0,0,1.58402303112212e-273,8.08534476894033e-318,5.83909429115686e-299,5.86486844609458e-260,0,0
1.92772857726992e-195,3.5145686934603e-247,3.35405497561815e-246,7.74411259659701e-274,0,1.0236406961429e-242,4.68777745627764e-181,9.40258574609412e-196,2.6365733746645e-229,9.09469194251955e-236
3.02540141904878e-237,3.13393691501925e-266,8.6364728723188e-262,1.43739506475886e-318,7.96164985888923e-243,0,2.95228127424788e-280,6.93769988919529e-271,4.41304302159519e-276,1.09649122838448e-301
3.40152405589299e-273,2.29628186788801e-244,2.12486923965514e-249,2.20588006554815e-299,4.58360462391591e-181,1.246518760238e-280,0,2.15540350848981e-207,1.04100252209377e-262,3.08403772122162e-313
2.28820083729763e-178,3.55561908103766e-256,5.55524433197887e-253,3.64925147756996e-260,8.77574669635451e-196,3.70010660757082e-271,1.96381208551294e-207,0,1.99797190575979e-233,1.08510896027814e-235
5.76654826006452e-276,0,0,0,2.34362077747955e-229,1.96135245404231e-276,6.01468123876401e-263,1.73157565165849e-233,0,4.16812306293395e-317
3.78351084659298e-306,4.79388832952757e-316,2.79996882811151e-318,0,7.47785781940497e-236,3.89863547870038e-302,8.90944230577331e-314,9.16314233123766e-236,9.26249569540877e-318,0
