id1	id2	cor
EIF2AK2	IFI44	0.877938865
EIF2AK2	IFI44L	0.863227027
EIF2AK2	IFIT3	0.879228867
EIF2AK2	IFITM3	0.774882027
EIF2AK2	PARP9	0.819957734
EIF2AK2	PRIC285	0.850718342
EIF2AK2	TRIM22	0.752814513
EIF2AK2	XAF1	0.852836908
EIF2AK2	ZBP1	0.873911404
IFI44	IFI44L	0.965182005
IFI44	IFIT3	0.914213375
IFI44	IFITM3	0.829107893
IFI44	PARP9	0.845244257
IFI44	PRIC285	0.826568904
IFI44	TRIM22	0.836947821
IFI44	XAF1	0.930566076
IFI44	ZBP1	0.880092801
IFI44L	IFIT3	0.929769574
IFI44L	IFITM3	0.828229027
IFI44L	PARP9	0.841639308
IFI44L	PRIC285	0.83107968
IFI44L	TRIM22	0.834210737
IFI44L	XAF1	0.940243276
IFI44L	ZBP1	0.881442295
IFIT3	IFITM3	0.851212717
IFIT3	PARP9	0.88161606
IFIT3	PRIC285	0.869488945
IFIT3	TRIM22	0.840296254
IFIT3	XAF1	0.915942968
IFIT3	ZBP1	0.91227945
IFITM3	PARP9	0.825162235
IFITM3	PRIC285	0.756465728
IFITM3	TRIM22	0.775299613
IFITM3	XAF1	0.812300372
IFITM3	ZBP1	0.818631542
PARP9	PRIC285	0.856330191
PARP9	TRIM22	0.849139895
PARP9	XAF1	0.853191766
PARP9	ZBP1	0.871308116
PRIC285	TRIM22	0.789012485
PRIC285	XAF1	0.842587574
PRIC285	ZBP1	0.878704901
TRIM22	XAF1	0.816355118
TRIM22	ZBP1	0.818547139
XAF1	ZBP1	0.881129829
