id	GSM955680	GSM955681	GSM955682	GSM955683	GSM955684	GSM955685	GSM955686	GSM955687	GSM955688	GSM955689	GSM955690	GSM955691	GSM955692	GSM955693	GSM955694	GSM955695	GSM955696	GSM955697	GSM955698	GSM955699	GSM955700	GSM955701	GSM955702	GSM955703	GSM955704	GSM955705	GSM955706	GSM955707	GSM955708	GSM955709	GSM955710	GSM955711	GSM955712	GSM955713	GSM955714	GSM955715	GSM955716	GSM955717	GSM955718	GSM955719	GSM955720	GSM955721	GSM955722	GSM955723	GSM955724	GSM955725	GSM955726	GSM955727	GSM955728	GSM955729	GSM955730	GSM955731	GSM955732	GSM955733	GSM955734	GSM955735	GSM955736	GSM955737	GSM955738	GSM955739	GSM955740	GSM955741	GSM955742	GSM955743	GSM955744	GSM955745	GSM955746	GSM955747	GSM955748	GSM955749	GSM955750	GSM955751	GSM955752	GSM955753	GSM955754	GSM955755	GSM955756	GSM955757	GSM955758	GSM955759	GSM955760	GSM955761	GSM955762	GSM955763	GSM955764	GSM955765	GSM955766	GSM955767	GSM955768	GSM955769	GSM955770	GSM955771	GSM955772	GSM955773	GSM955774	GSM955775	GSM955776	GSM955777	GSM955778	GSM955779	GSM955780	GSM955781	GSM955782	GSM955783	GSM955784	GSM955785	GSM955786	GSM955787	GSM955788	GSM955789	GSM955790	GSM955791	GSM955792	GSM955793	GSM955794	GSM955795	GSM955796	GSM955797	GSM955798	GSM955799	GSM955800	GSM955801	GSM955802	GSM955803	GSM955804	GSM955805	GSM955806	GSM955807	GSM955808	GSM955809	GSM955810	GSM955811	GSM955812	GSM955813	GSM955814	GSM955815	GSM955816	GSM955817	GSM955818	GSM955819	GSM955820	GSM955821
EIF2AK2	-0.5249038	-0.31954384	-0.47630167	-0.6647377	-0.31790257	-0.3956952	-0.5915761	-0.2644968	-0.44934416	-0.8200631	-0.07083225	-0.5445733	-1.0048928	-0.48944044	-0.8616543	-1.1123614	0.119345665	-0.5391264	-0.6490731	0.042948723	-0.3573599	-0.61075544	-0.7018471	-0.59892225	-0.6154666	-0.40600014	-1.14784	-0.52036095	-0.89581823	-0.3808689	-0.92765284	-0.520504	-0.887815	0.0667696	-1.0199361	-1.0004625	-0.3461671	-0.5374093	-1.164618	0.5994177	-0.8973851	-0.43703222	-0.77730894	-0.649878	-0.2049675	-0.25368118	2.0399475	0.8660126	1.8728151	1.0928392	1.6393013	1.4091606	1.3793764	0.89591503	1.4475651	0.63935375	1.6838827	1.0709	1.8804407	0.9220867	1.7255774	1.2599611	1.5903015	0.961401	0.25675297	0.35692215	0.3208084	0.10238838	0.4018383	0.68931484	0.8305588	0.31000328	0.6768532	1.4099264	0.545413	0.91474724	0.70870495	1.9627285	0.47802925	-0.6545167	-0.65461206	-0.268548	0.15968418	-0.28796387	-0.3947606	1.2444582	0.7222433	1.76408	1.0083065	0.22576427	0.2636881	-0.2396059	0.3749056	0.022203445	-0.2362814	-0.03151703	-0.27247334	0.59156704	-0.2749052	-0.42608595	0.7652359	0.43659973	0.7508087	-0.17828178	0.087566376	0.21441746	-0.60343885	-1.0588837	-1.0105243	0.7591486	0.6937771	0.43074894	0.11091423	0.5539818	0.29147434	0.71819973	1.247777	1.307209	1.0650396	-0.295969	0.16378021	0.9467306	0.60745907	-0.7080717	-1.0676851	-0.7288823	-0.54780865	-0.16608143	-0.7493906	-0.39122295	0.98309517	1.0081015	1.1909266	0.5729275	0.13440418	0.32332802	-0.022203445	-0.93996286	-0.35484695	-0.87189245	-1.2848554	-1.1531997
IFI44L	-1.737937	-1.4510846	-1.2994156	-1.8887253	-1.2327394	-1.9592409	-1.2070212	-0.84988403	-2.6434174	-1.6800108	-0.43696117	-2.6315598	-2.2060328	-0.29697323	-2.7569504	-3.4451027	0.5800009	-1.7759595	-2.5917616	-1.7514572	-1.9339771	-2.012722	-3.5737228	-2.880415	-2.2073426	-1.5223165	-2.0913572	-1.7406106	-1.923728	-0.95183516	-1.6795874	-2.227851	-2.2496233	0.51835823	-2.9421701	-2.2626333	-0.8097029	-1.3399835	-2.4733095	1.9731398	-2.3893704	-1.822794	-2.4622746	-2.0673285	-0.1353426	-0.9017401	2.7155085	1.6977139	2.776147	1.994647	2.3527927	1.9356327	2.2538958	2.1334047	2.9333448	1.5383844	2.435192	1.7166538	2.2842102	1.5997782	1.8378687	1.5497246	2.969057	2.6547623	2.072319	2.655323	3.0696507	2.3218918	2.620676	3.384861	3.0448818	3.2537289	3.0398045	3.4565039	2.8130198	3.3025131	2.697281	3.9571476	0.035182	-0.4103794	-1.0388498	-0.040207863	-1.3753033	-2.105667	-0.53141737	3.2744246	2.5765553	3.580392	2.5186872	1.9005566	2.074956	-0.29884148	1.6307755	1.5513754	-2.1843662	0.44325256	-1.8615556	1.6285925	-0.035182	-0.34554005	2.8684807	2.7583103	2.3357315	-1.5265479	-0.36378288	-0.67567253	-2.0315218	-1.9373016	-1.4726076	2.5498543	3.199706	2.9222374	2.5523863	1.919775	1.351882	3.5135164	3.2675486	3.3272343	3.3999405	0.13239002	1.2576237	3.1348305	2.9761076	-2.325161	-1.566679	-0.48443317	-0.49429703	-3.3927917	-2.4783525	-3.4970198	2.8913908	3.6354856	4.1680107	2.8084402	1.1769066	1.6234398	2.2689915	-0.3996477	0.24671459	-1.6545291	-3.0475216	-3.3049564
IFIT3	-1.3654928	-0.3551302	-0.42883015	-0.89080906	-0.88074493	-0.9368105	-0.84234047	-0.7274332	-1.4155989	-0.7792311	-0.18718147	-1.6412783	-1.3885593	-0.40072346	-1.6421471	-1.457941	-0.14546967	-1.2210464	-1.7616463	-0.847003	-1.0055971	-1.8483028	-1.7834086	-1.4440193	-0.96631336	-0.7629528	-1.5030708	-0.9040861	-1.6355104	-0.71733093	-1.0720024	-1.2728958	-1.1201525	-0.04139328	-2.2057915	-1.1425934	-0.60926247	-0.9938593	-1.4098654	1.2708349	-1.4863024	-1.5401335	-1.065649	-1.0688639	-0.45580482	-0.55039024	2.80194	2.1107168	2.873001	2.5808372	2.8350935	2.3672848	2.369894	2.0414581	2.9913473	1.9552221	2.8981314	2.2124405	3.1384392	2.4322758	3.104395	1.9099312	3.3423452	2.4337397	0.64125824	1.390893	1.5356884	0.8872366	1.5424423	2.0711966	2.095004	1.9775515	1.5846748	2.4568157	1.9663286	2.3354282	2.0417423	2.5447998	0.010231018	-0.67209625	-0.43335533	-0.05697918	-0.74437237	-0.61050606	-0.3400011	1.8312969	1.719183	2.7001057	1.4990616	1.3713465	1.7537079	-0.8378477	0.35276604	0.49655724	-1.2226076	0.6099787	-0.7735491	-0.6304245	0.21217823	0.10359287	1.7441301	1.5966797	1.8403873	-0.43769646	0.49188232	-0.005450249	-1.6252728	-1.4959288	-1.8317671	1.4516535	2.0020342	1.7461119	1.6563663	1.3598385	0.98419	2.2808886	2.4454222	2.3692312	2.178525	0.005450249	0.81020546	1.7182121	1.6537685	-3.3057518	-1.6616712	-0.7264757	0.057022095	-1.3671646	-1.313838	-1.4955454	1.6758833	2.2233706	2.266698	1.5980425	0.795619	1.0206022	1.0365448	-0.8607378	-0.4550419	-0.6688175	-1.7065058	-1.5495377
XAF1	-0.14262962	-0.28597355	-0.23025036	0.016759872	-0.2573471	-0.20777225	-0.031824112	-0.2558365	-0.3007431	-0.26222992	-0.016759872	-0.9843235	-0.537096	0.35052967	-0.8958101	-1.054307	0.9064264	-0.32844448	-0.7283697	-0.2908926	-0.39282036	-0.62437725	-0.90892124	-1.3379507	-0.6452341	-0.60954475	-0.28373718	-0.35467243	-0.6166096	-0.105475426	-0.15376091	-0.7559681	-0.62577915	0.45943642	-0.98737144	-0.88980293	-0.17273998	-0.4238453	-0.98498917	1.2551479	-1.2819715	-0.7070513	-0.66887665	-0.3901472	0.041069984	-0.6298361	2.0690737	1.222311	2.3803406	1.9517021	2.2242508	1.7553234	1.6183586	2.1216402	2.0667362	1.2795877	1.9019556	1.0673084	2.0552835	1.3174238	1.5972786	0.90802956	1.9818354	1.8326054	0.18381214	0.8700876	1.3196621	0.7980652	1.5195112	2.2689686	1.2777023	1.348588	1.6641846	1.8799505	1.1451187	2.1195908	1.334465	1.2782707	-0.6467657	-0.6661053	-0.6337452	-0.47114754	-1.6172066	-1.0463667	-1.1012535	1.2652273	1.7724848	2.579198	1.2043772	1.3725023	0.77087307	-0.7598877	0.63589096	0.8590679	-2.0405087	-0.39887428	-1.0747232	-0.06742668	0.4220171	-0.25403214	1.5215025	1.7493496	0.903141	-1.3642569	-0.53630733	-0.7291727	-1.4935417	-0.5073519	-1.2394242	0.8099232	1.3987751	1.3410578	1.2632504	1.230938	1.0330858	2.0819836	2.1061144	2.06853	1.9417381	0.5369768	0.83401394	1.3258715	1.4763088	0.7091923	-1.1387529	-0.15063953	-0.13697338	-0.94657135	-1.4627624	-1.8762231	1.6200352	2.0297756	2.5736465	1.3251629	-0.39701462	0.9564333	0.4849758	-0.6283579	-0.24340153	-1.0400677	-1.2767181	-1.4449482
ZBP1	-0.47205544	-0.08526611	-0.16675425	-0.083370686	-0.17782688	-0.6132407	-0.1093421	-0.65414	-0.921227	-0.9518323	-0.61459637	-1.1731477	-0.37721252	0.01068306	-0.5499549	-0.58959055	-0.041954994	-0.5704422	-0.54212904	-0.77189445	-0.5457454	-0.68487215	-0.5528655	-0.71731186	-0.28228664	-0.33766222	-0.27135468	-0.69668627	-0.44087076	-0.62126446	-0.3646164	-0.6237221	-0.88233995	-0.23704243	-1.0010409	-0.4546814	-0.5026827	-0.5951519	-0.387527	0.62925863	-0.8365998	-0.6802716	-0.49386358	-0.7090249	-0.33262873	-0.6125598	2.0925775	1.494863	2.2356353	1.7130876	2.1823173	1.4930167	1.8095603	1.8044419	2.1157184	0.78845644	2.2421813	1.4522891	2.3928523	1.4133563	2.1214166	0.96141243	2.7013927	1.9515367	0.67565966	0.69220304	1.1139383	0.5575156	0.5459223	1.1878309	1.5501618	2.0723739	1.1397629	1.9113269	0.9756808	1.3532319	1.7926307	2.47228	0.4516158	-0.18570375	-0.3475585	-0.12956572	-0.19107533	-0.11460543	-0.054131985	1.783176	0.8975949	2.1967864	0.9111576	-0.041793346	0.6205497	-0.47865915	0.058843136	-0.028309822	-1.093298	0.16500044	-0.25262785	-0.40223408	0.119365215	0.086055756	0.80674124	0.54909086	1.0016665	-0.49984646	0.39273834	0.67943573	-0.5492797	-0.50014114	-0.47867918	0.88686657	0.95792866	1.0368028	0.7575989	0.12631941	0.18530083	1.3869925	1.8382239	1.905355	1.3940668	0.18355942	0.32777405	1.1937108	1.2642078	-1.0314326	-0.6417055	-0.38643932	0.05030203	-1.2659812	-0.28162146	-0.01068306	1.5549865	2.1122222	2.1381202	1.0868759	0.6114044	0.4523239	0.68060875	-0.5864768	-0.4943409	-0.34284163	-0.39502668	-0.33902788
IFITM3	-0.4257946	-0.1114912	-0.09057903	-0.105293274	-0.029650688	-0.51957417	0.12549496	-0.13783073	0.018569946	-0.5285034	-9.11E-04	-0.28353596	-0.40977287	-0.56992435	-0.120197296	-0.6696148	-0.042616844	-0.20515728	-0.3420534	-0.32870483	-0.44168282	-0.6720066	-0.43272686	-0.22811604	-0.2710495	-0.08787727	-0.60425854	-0.17639065	-0.047927856	-0.52957535	-0.085897446	-0.041633606	-0.7845974	-0.49650288	-0.7951727	-0.30997562	-0.82372284	-0.11856079	-0.5608473	0.50946426	-0.8615351	0.05833435	9.11E-04	-0.31180954	-0.41207123	-0.006505013	0.19727516	-0.098202705	0.16478348	-0.108216286	0.08259773	-0.110445976	-0.04821968	-0.23731327	0.013424873	-0.17318726	0.22970963	-0.082559586	0.19767284	-0.09661579	0.42619705	-0.046787262	0.74696064	0.45442295	0.5709305	0.7722502	0.66293526	0.7189512	0.34497547	1.0550451	1.0676842	0.99253845	0.7287197	0.5111866	0.40289497	0.42435265	0.72277164	0.32595253	0.074251175	-0.38502026	-0.31084824	-0.2144165	0.39193344	0.33094597	0.31517887	0.77198505	0.28687	1.0264177	0.5109253	-0.1033268	0.40393543	-0.697443	-0.41544533	-0.2017107	-0.25791168	0.17839432	0.052096367	0.1969366	0.011306763	0.024487495	0.4381752	0.40719032	0.5304165	-0.41807556	0.10611248	0.07999706	-0.3103199	-0.5528774	-0.6269331	0.36493206	0.5519314	0.24268532	0.09971905	0.056921005	-0.12813663	0.7568283	1.127285	1.2104263	0.63279915	0.4370947	0.34632015	0.5462103	0.6908531	-0.07863426	-0.354311	-0.36846066	-0.36490726	-3.1624527	0.06631851	0.046707153	0.37182522	1.041399	0.7016182	0.5279646	-0.003434181	0.1468525	0.06523037	-0.3836136	-0.4333725	0.14868164	0.16499329	0.1262207
TRIM22	-0.26140308	-0.11325264	0.020277023	-0.22327518	-0.55038166	-0.63912106	-0.4157467	-0.49371338	-0.8177881	-0.47445202	0.1391344	-0.9418516	-0.2602129	-0.00389576	-1.0149469	-0.927331	-0.13538551	-0.3161955	-0.7242899	-0.3600645	-0.49917984	-0.9531946	-1.3882227	-1.1787062	-0.7060499	-0.5293026	-0.35581875	-0.21572208	-0.62693024	-0.18324089	-0.061444283	-0.8325319	-0.7750206	0.13032055	-0.50321674	-0.53349876	-0.25603676	-0.34429646	-0.3156271	0.5175371	-1.1564674	-0.22424316	-0.3602047	-0.43942547	-0.19757557	-0.35138798	1.22402	0.76650715	1.5760508	1.0601854	1.0778942	0.64948463	1.2060461	1.0323915	1.5241995	0.6726618	1.2567873	0.4349146	1.3843803	0.80500984	0.98095036	0.47565174	1.5569477	0.8499193	0.17914295	0.48682117	0.7141571	0.2844677	0.594656	0.8866062	0.6373968	0.48374176	0.65717983	1.9077387	0.72730255	1.311614	1.128336	1.420618	-0.51315975	0.24202442	-0.5087347	0.00389576	-0.389081	-0.61077785	0.12018108	0.88375187	0.78977585	1.4453449	0.3622961	0.80091953	0.5777645	-0.054229736	0.17788029	-0.038230896	-0.37309837	0.39966106	-0.77317905	-0.38221836	0.112799644	-0.14327621	0.9807663	0.5817814	0.10604954	-0.367095	-0.80410767	-1.3572493	-0.56195545	-0.22147751	-0.14256954	0.67861176	0.785697	0.69022274	0.9977083	0.33434582	-0.034680367	1.3206663	0.51487637	0.71858406	1.2149134	-0.27499008	0.27220058	0.80609703	0.25648212	-0.4984951	-0.10845089	-0.20150661	0.09373665	-4.5211334	-0.7172699	-0.7418213	0.24732399	0.93319416	1.4783154	0.32616234	-0.40711975	0.19163227	0.24622536	-0.528636	0.021501541	-1.315897	-1.4547472	-1.323412
EIF2AK2	-0.42578697	-0.23235035	-0.3391781	-0.35486603	-0.32818794	-0.4709177	-0.29382992	-0.4461851	-0.735322	-1.116384	-0.38087368	-0.8888178	-0.6031208	-0.02021122	-0.83683014	-1.1249714	0.16202164	-0.55510426	-0.8623066	-0.7600908	-0.7971773	-0.9065447	-0.9893217	-0.8580475	-0.6974554	-0.47874165	-0.812829	-0.28931618	-0.89590263	-0.23462582	-0.49670982	-0.92183495	-1.0692029	0.089372635	-0.9693928	-0.743206	-0.2592659	-0.17310429	-0.9856405	0.650794	-0.9428768	-0.22367382	-0.75141907	-0.68372154	0.1273117	-0.26033974	2.2183332	1.715188	2.3440847	1.8155785	1.9920254	1.7306509	1.7676325	2.1107311	2.459569	1.6506948	2.253253	1.8897514	2.2834702	1.7167196	1.6468639	1.7301054	1.6319618	1.5843315	-0.21107578	0.63775826	0.83445835	0.42699242	0.848649	0.977273	1.046484	0.8874731	0.68399334	1.94524	0.87175465	1.4760494	1.5017319	1.5669518	0.015390396	-0.47498608	-0.9429989	-0.039377213	0.008545876	-0.29425907	-0.008545876	1.3084831	0.7713499	1.7126837	0.9174061	0.7952204	0.7035351	-0.05870056	0.36535645	0.5075464	-0.7915039	0.18866158	-0.5980892	0.018860817	-0.03413582	-0.47049046	1.1487894	0.78269863	0.37383842	-0.27319527	0.39801502	0.07483482	-0.80421925	-0.6077566	-0.5940418	1.1023722	1.1172438	0.90378475	1.2724648	0.78665733	0.36105824	1.6564932	1.0520229	1.164813	1.5828753	-0.4600401	0.28329372	1.1753874	0.6814947	-0.5177059	-0.7788229	-0.73246574	-0.45329762	-5.197152	-0.53769016	-0.40190125	0.7586756	1.4115381	1.709651	0.7226896	-0.38833714	0.20788765	0.60125923	-0.4920082	-0.53655624	-1.2120414	-1.4852657	-1.2448502
IFI44	-1.0025549	-1.2592034	-0.64505386	-1.5119405	-1.3557796	-1.6019135	-0.78242636	-1.1672406	-1.363884	-1.3255916	-0.6554618	-1.7123556	-1.605577	-0.65958023	-2.2177815	-2.5182052	0.04710436	-1.2005711	-2.440569	-1.9578066	-1.6199322	-1.8164401	-1.7657909	-2.1797576	-1.5277839	-1.129643	-0.8667464	-1.2019658	-1.9250083	-1.1280813	-1.2060943	-1.5124717	-2.1187081	-0.0792923	-2.1470976	-2.1147814	-0.8795705	-1.3304958	-2.4407063	1.4360142	-2.1991434	-1.2751846	-1.71345	-1.7667942	-0.84066725	-0.80491257	2.5397987	2.0518074	2.935917	2.2469015	2.5449305	1.9407616	2.1151428	2.5767632	3.5966158	1.9209013	2.8032951	1.8681211	3.107788	2.1917315	3.3993378	1.6527224	3.694418	3.0630322	0.6958494	2.0826073	2.1575565	1.244585	1.9835701	2.2203999	2.4237175	2.5440598	2.189165	3.6921349	2.2268333	3.1130095	3.0120869	3.9016066	0.1866231	-0.022068977	-1.0802932	0.08487129	-0.91831446	-1.6987257	-0.0845356	2.9965582	2.2472343	3.4762192	1.4585314	1.3661785	1.5246773	-0.2719531	1.1739206	0.6702924	-1.824337	0.62402725	-1.6168032	1.5513544	-0.049608707	-0.23093367	2.0982122	1.4396954	1.0871658	-0.88085556	0.0220685	-0.6600542	-1.5456872	-1.1933556	-1.2657967	2.3691063	2.8006802	2.5319138	3.0798702	2.021224	1.6397352	3.2287474	2.5715866	2.7132187	2.504486	-0.456182	0.72957516	2.6579762	2.428049	0.6197572	-0.8796158	-0.58154345	-0.51358414	-1.8092918	-1.773252	-1.8989673	2.2396593	2.7872782	4.0689898	1.8430824	0.5198684	1.4851828	0.66862774	-0.9564824	-0.3785658	-1.20994	-2.7115707	-1.9280024
IFI44	-1.6291089	-1.3445106	-1.280827	-2.085774	-1.8534231	-1.9013562	-1.4817538	-1.1219983	-2.689107	-1.2539344	-0.55180025	-1.9018555	-2.136499	-0.47754478	-2.4671679	-2.329287	0.2626772	-1.9966216	-2.6538744	-1.748085	-1.7019572	-2.0257926	-2.9127216	-2.622014	-1.8901944	-1.2096248	-0.80008364	-1.3269506	-1.5639801	-0.99189425	-0.8115525	-2.5162802	-2.0224342	0.025262833	-2.0171018	-2.0489392	-0.4300928	-1.5704999	-1.603416	1.004386	-2.483327	-2.445036	-2.287119	-2.1183968	-0.84846544	-1.5521612	2.1040869	1.5538111	2.4733381	2.1873684	3.0078573	2.5122528	2.3217287	1.7436266	3.2830524	1.3314657	2.3585253	0.9747267	2.5137196	1.8545208	2.3440094	1.1247511	2.5783682	2.1920748	0.4578762	2.1808558	2.8548079	1.2988482	2.3169794	2.6237297	2.5187025	1.6829185	1.8315792	3.0722818	2.1561852	2.965989	2.7972507	3.5219574	-0.98801804	0.44382763	-0.62286186	0.4658079	-1.7024808	-1.599813	0.07193756	2.099903	2.0288162	2.4219418	1.5311251	1.9303007	1.9542904	-0.20286608	1.3705492	0.6544676	-2.31994	0.3064375	-2.2864509	-0.025262833	0.09123993	0.07559776	2.8733463	2.0289087	1.3367376	-0.62013245	-0.71431684	-1.2374997	-1.6240997	-0.5663471	-0.24865103	1.8857927	2.8817196	2.7254534	2.5889368	1.8408117	1.2765617	3.4563818	2.6043081	2.3048391	2.8473434	-0.9584861	0.7493324	2.362607	1.7696638	-1.1863399	-0.98191357	-0.5330429	-0.03691578	-2.9249034	-2.117898	-2.4739885	1.8810396	2.7966003	4.00998	1.7816992	-0.099303246	0.83867264	2.1304045	-0.826622	-0.25690746	-2.2006974	-3.295505	-3.450965
