id	GSM955680	GSM955681	GSM955682	GSM955683	GSM955684	GSM955685	GSM955686	GSM955687	GSM955688	GSM955689	GSM955690	GSM955691	GSM955692	GSM955693	GSM955694	GSM955695	GSM955696	GSM955697	GSM955698	GSM955699	GSM955700	GSM955701	GSM955702	GSM955703	GSM955704	GSM955705	GSM955706	GSM955707	GSM955708	GSM955709	GSM955710	GSM955711	GSM955712	GSM955713	GSM955714	GSM955715	GSM955716	GSM955717	GSM955718	GSM955719	GSM955720	GSM955721	GSM955722	GSM955723	GSM955724	GSM955725	GSM955726	GSM955727	GSM955728	GSM955729	GSM955730	GSM955731	GSM955732	GSM955733	GSM955734	GSM955735	GSM955736	GSM955737	GSM955738	GSM955739	GSM955740	GSM955741	GSM955742	GSM955743	GSM955744	GSM955745	GSM955746	GSM955747	GSM955748	GSM955749	GSM955750	GSM955751	GSM955752	GSM955753	GSM955754	GSM955755	GSM955756	GSM955757	GSM955758	GSM955759	GSM955760	GSM955761	GSM955762	GSM955763	GSM955764	GSM955765	GSM955766	GSM955767	GSM955768	GSM955769	GSM955770	GSM955771	GSM955772	GSM955773	GSM955774	GSM955775	GSM955776	GSM955777	GSM955778	GSM955779	GSM955780	GSM955781	GSM955782	GSM955783	GSM955784	GSM955785	GSM955786	GSM955787	GSM955788	GSM955789	GSM955790	GSM955791	GSM955792	GSM955793	GSM955794	GSM955795	GSM955796	GSM955797	GSM955798	GSM955799	GSM955800	GSM955801	GSM955802	GSM955803	GSM955804	GSM955805	GSM955806	GSM955807	GSM955808	GSM955809	GSM955810	GSM955811	GSM955812	GSM955813	GSM955814	GSM955815	GSM955816	GSM955817	GSM955818	GSM955819	GSM955820	GSM955821
EIF2AK2	-0.06263876	-0.12605524	-0.056773186	0.14546633	0.08236694	-0.14513445	-0.16750526	-0.2644968	-0.18331146	-0.8200631	-0.07083225	-0.5263972	-0.5800681	-0.02021122	-0.35914373	-0.39468384	0.421278	-0.15775108	-0.6490731	0.042948723	-0.3573599	-0.114230156	-0.4055729	-0.56296206	-0.41320276	-0.27790642	-0.7130294	-0.1890378	-0.69607496	-0.10066414	-0.15434313	-0.34064007	-0.5814929	0.089372635	-0.6505656	-0.743206	-0.2592659	-0.103485584	-0.65149164	0.9384451	-0.85275126	-0.1624713	-0.5379834	-0.20603752	0.1273117	-0.023142815	2.6646147	1.715188	2.8912268	2.0848055	2.0970678	1.8774891	1.808054	2.2542534	2.459569	1.6506948	2.253253	1.8897514	2.2834702	1.7167196	1.7255774	1.7301054	1.8225012	1.7152262	0.25675297	0.63775826	0.83445835	0.524663	0.848649	1.4696016	1.046484	0.8874731	0.8897295	2.0109396	0.87175465	1.7845373	1.5017319	1.9627285	0.47802925	-0.47498608	-0.552372	-0.039377213	0.15968418	0.38938284	-0.008545876	1.7833967	1.3284483	2.5753489	1.7116156	0.7952204	0.7035351	-0.05870056	0.3749056	0.7700634	-0.2362814	0.18866158	0.3569169	0.9995346	0.08805084	-0.41391373	1.1487894	1.5113583	1.2996511	-0.17828178	0.39801502	0.48502302	-0.60343885	-0.5181613	-0.5940418	1.1023722	1.1172438	0.90378475	1.2724648	1.0379105	0.56832457	1.6564932	1.594037	2.2462225	1.5828753	0.39713192	0.28329372	1.1753874	1.3138056	0.07322502	-0.5207119	-0.20994616	-0.45329762	-0.16608143	-0.53769016	-0.39122295	1.7996988	1.4115381	1.709651	0.7226896	0.13440418	0.40310907	0.60125923	-0.4920082	-0.35484695	-0.87189245	-0.63567066	-0.9598155
PRIC285	-0.2538929	-0.16128302	-0.13032627	-0.25393534	-0.13826847	-0.123485565	-0.25483942	-0.25624418	-0.3005724	-0.46121788	0.00506258	0.055146694	-0.21696424	-0.1344924	-0.026144505	-0.74228764	0.050965786	-0.23839855	-0.38160944	-0.13002062	-0.16444731	-0.26288462	-0.28147602	-0.09270334	-0.34310913	-0.24641657	-0.48736477	-0.3660984	-0.27533293	-0.22787905	-0.385705	-0.06424236	-0.79355764	0.09468031	-0.52485514	-0.33107138	-0.44443798	-0.008992195	-0.59045744	0.7567272	-0.47584152	-0.35226917	-0.35251856	-0.22794485	0.002418995	0.007127762	2.20044	1.0198207	2.3257966	1.3683505	1.9465919	1.2890053	1.8189025	1.7310476	2.2055535	1.1823974	2.212893	1.3303299	2.1351676	0.9334693	1.3210273	1.1816773	2.382648	1.4714208	0.6391444	0.1174202	0.19245386	0.09197521	0.38198042	0.6634383	1.0339661	1.537744	0.35040808	1.5450997	0.7734766	0.71065664	1.042418	1.0726295	0.6729617	-0.42803383	-0.3673334	-0.24576378	0.35375643	0.26967192	-0.10648584	1.2658334	0.026911259	1.3944879	1.0088077	0.16156149	0.115436554	-0.5385566	-0.23131657	0.052090168	-0.3533063	-0.23810434	-0.12299919	-0.34715033	-0.49661875	-0.22018147	0.46773386	0.30782604	0.84132814	-0.32450485	0.55447435	0.49272346	-0.3132453	-0.54536295	-0.5952077	0.9274483	0.564775	0.3240409	0.2889347	-0.002418995	0.020750523	0.8992348	1.2984691	1.6924758	0.98108816	-0.042654037	-0.25697756	1.1083612	0.5344534	0.3880353	-0.8815489	-0.3063059	-0.15482426	-0.5183959	-0.12866879	-0.18980932	0.9484186	1.4849815	1.1957755	0.84327364	-0.05995369	0.22923613	-0.045238018	-0.4837613	-0.58063984	-0.27493763	-0.3727517	-0.69930506
IFI44	-1.0025549	-1.2592034	-0.64505386	-1.5119405	-1.3557796	-1.6019135	-0.78242636	-1.1219983	-1.363884	-1.2539344	-0.55180025	-1.7123556	-1.605577	-0.47754478	-2.2177815	-2.329287	0.2626772	-1.2005711	-2.440569	-1.748085	-1.6199322	-1.8164401	-1.7657909	-2.1797576	-1.5277839	-1.129643	-0.80008364	-1.2019658	-1.5639801	-0.99189425	-0.8115525	-1.5124717	-2.0224342	0.025262833	-2.0171018	-2.0489392	-0.4300928	-1.3304958	-1.603416	1.4360142	-2.1991434	-1.2751846	-1.71345	-1.7667942	-0.84066725	-0.80491257	2.5397987	2.0518074	2.935917	2.2469015	3.0078573	2.5122528	2.3217287	2.5767632	3.5966158	1.9209013	2.8032951	1.8681211	3.107788	2.1917315	3.3993378	1.6527224	3.694418	3.0630322	0.6958494	2.1808558	2.8548079	1.2988482	2.3169794	2.6237297	2.5187025	2.5440598	2.189165	3.6921349	2.2268333	3.1130095	3.0120869	3.9016066	0.1866231	0.44382763	-0.62286186	0.4658079	-0.91831446	-1.599813	0.07193756	2.9965582	2.2472343	3.4762192	1.5311251	1.9303007	1.9542904	-0.20286608	1.3705492	0.6702924	-1.824337	0.62402725	-1.6168032	1.5513544	0.09123993	0.07559776	2.8733463	2.0289087	1.3367376	-0.62013245	0.0220685	-0.6600542	-1.5456872	-0.5663471	-0.24865103	2.3691063	2.8817196	2.7254534	3.0798702	2.021224	1.6397352	3.4563818	2.6043081	2.7132187	2.8473434	-0.456182	0.7493324	2.6579762	2.428049	0.6197572	-0.8796158	-0.5330429	-0.03691578	-1.8092918	-1.773252	-1.8989673	2.2396593	2.7966003	4.0689898	1.8430824	0.5198684	1.4851828	2.1304045	-0.826622	-0.25690746	-1.20994	-2.7115707	-1.9280024
IFI44L	-1.737937	-1.4510846	-1.2994156	-1.8887253	-1.2327394	-1.9592409	-1.2070212	-0.84988403	-2.6434174	-1.6800108	-0.43696117	-2.6315598	-2.2060328	-0.29697323	-2.7569504	-3.4451027	0.5800009	-1.7759595	-2.5917616	-1.7514572	-1.9339771	-2.012722	-3.5737228	-2.880415	-2.2073426	-1.5223165	-2.0913572	-1.7406106	-1.923728	-0.95183516	-1.6795874	-2.227851	-2.2496233	0.51835823	-2.9421701	-2.2626333	-0.8097029	-1.3399835	-2.4733095	1.9731398	-2.3893704	-1.822794	-2.4622746	-2.0673285	-0.1353426	-0.9017401	2.7155085	1.6977139	2.776147	1.994647	2.3527927	1.9356327	2.2538958	2.1334047	2.9333448	1.5383844	2.435192	1.7166538	2.2842102	1.5997782	1.8378687	1.5497246	2.969057	2.6547623	2.072319	2.655323	3.0696507	2.3218918	2.620676	3.384861	3.0448818	3.2537289	3.0398045	3.4565039	2.8130198	3.3025131	2.697281	3.9571476	0.035182	-0.4103794	-1.0388498	-0.040207863	-1.3753033	-2.105667	-0.53141737	3.2744246	2.5765553	3.580392	2.5186872	1.9005566	2.074956	-0.29884148	1.6307755	1.5513754	-2.1843662	0.44325256	-1.8615556	1.6285925	-0.035182	-0.34554005	2.8684807	2.7583103	2.3357315	-1.5265479	-0.36378288	-0.67567253	-2.0315218	-1.9373016	-1.4726076	2.5498543	3.199706	2.9222374	2.5523863	1.919775	1.351882	3.5135164	3.2675486	3.3272343	3.3999405	0.13239002	1.2576237	3.1348305	2.9761076	-2.325161	-1.566679	-0.48443317	-0.49429703	-3.3927917	-2.4783525	-3.4970198	2.8913908	3.6354856	4.1680107	2.8084402	1.1769066	1.6234398	2.2689915	-0.3996477	0.24671459	-1.6545291	-3.0475216	-3.3049564
IFIT3	-1.2121458	-0.2641058	-0.27639008	-0.765049	-0.88074493	-0.9368105	-0.84234047	-0.7274332	-1.4155989	-0.7792311	-0.08964729	-1.6412783	-1.3365068	-0.33291054	-1.6421471	-1.457941	-0.14546967	-1.2210464	-1.7616463	-0.847003	-1.0055971	-1.8483028	-1.7834086	-1.4440193	-0.96631336	-0.7629528	-1.5030708	-0.9040861	-1.6355104	-0.7139721	-1.0720024	-1.2728958	-1.1201525	-0.04139328	-1.5807753	-0.88813114	-0.60926247	-0.9827795	-1.2482033	1.2708349	-1.4863024	-1.5398092	-1.065649	-1.0688639	-0.31421185	-0.55039024	2.80194	2.1107168	2.873001	2.5808372	2.8350935	2.3672848	2.369894	2.0414581	2.9913473	1.9552221	2.8981314	2.2124405	3.1384392	2.4322758	3.104395	1.9099312	3.3423452	2.4337397	0.708581	1.390893	1.5356884	1.0054502	1.5424423	2.0711966	2.095004	1.9775515	1.5846748	2.4568157	1.9663286	2.3354282	2.0417423	2.5447998	0.042793274	-0.575717	-0.43335533	-0.042793274	-0.67977333	-0.61050606	-0.3400011	1.8312969	1.719183	2.7001057	1.4990616	1.3713465	1.7537079	-0.8126993	0.449852	0.49655724	-1.2226076	0.6099787	-0.7735491	0.7644558	0.21217823	0.10359287	1.7441301	1.5966797	1.8403873	-0.28514385	0.49188232	-0.005450249	-1.5749311	-1.4959288	-1.8317671	1.5111666	2.0020342	1.7461119	1.6563663	1.3598385	0.98419	2.2808886	2.4454222	2.3692312	2.178525	0.005450249	0.81020546	1.7182121	1.6537685	0.6578655	-1.6616712	-0.7264757	0.15513039	-1.3671646	-1.3065176	-1.3503122	1.6758833	2.2233706	2.266698	1.5980425	0.795619	1.1121187	1.0768394	-0.65082645	-0.051398277	-0.6688175	-1.5718832	-1.3857403
IFITM3	-0.4257946	-0.1114912	-0.09057903	-0.105293274	-0.029650688	-0.51957417	0.12549496	-0.13783073	0.018569946	-0.5285034	-0.000911	-0.28353596	-0.40977287	-0.56992435	-0.120197296	-0.6696148	-0.042616844	-0.20515728	-0.3420534	-0.32870483	-0.44168282	-0.6720066	-0.43272686	-0.22811604	-0.2710495	-0.08787727	-0.60425854	-0.17639065	-0.047927856	-0.52957535	-0.085897446	-0.041633606	-0.7845974	-0.49650288	-0.7951727	-0.30997562	-0.82372284	-0.11856079	-0.5608473	0.50946426	-0.8615351	0.05833435	0.000911	-0.31180954	-0.41207123	-0.006505013	0.19727516	-0.098202705	0.16478348	-0.108216286	0.08259773	-0.110445976	-0.04821968	-0.23731327	0.013424873	-0.17318726	0.22970963	-0.082559586	0.19767284	-0.09661579	0.42619705	-0.046787262	0.74696064	0.45442295	0.5709305	0.7722502	0.66293526	0.7189512	0.34497547	1.0550451	1.0676842	0.99253845	0.7287197	0.5111866	0.40289497	0.42435265	0.72277164	0.32595253	0.074251175	-0.38502026	-0.31084824	-0.2144165	0.39193344	0.33094597	0.31517887	0.77198505	0.28687	1.0264177	0.5109253	-0.1033268	0.40393543	-0.697443	-0.41544533	-0.2017107	-0.25791168	0.17839432	0.052096367	0.1969366	0.011306763	0.024487495	0.4381752	0.40719032	0.5304165	-0.41807556	0.10611248	0.07999706	-0.3103199	-0.5528774	-0.6269331	0.36493206	0.5519314	0.24268532	0.09971905	0.056921005	-0.12813663	0.7568283	1.127285	1.2104263	0.63279915	0.4370947	0.34632015	0.5462103	0.6908531	-0.07863426	-0.354311	-0.36846066	-0.36490726	-3.1624527	0.06631851	0.046707153	0.37182522	1.041399	0.7016182	0.5279646	-0.003434181	0.1468525	0.06523037	-0.3836136	-0.4333725	0.14868164	0.16499329	0.1262207
PARP9	-0.65286064	0.40980148	0.13599205	-0.2777834	-0.46864986	-0.57676506	-0.22133636	-0.23818779	-0.3289528	-0.62004185	-0.06383133	-0.5862732	-0.21788692	-0.22551441	-0.6703925	-0.77242947	0.004722595	-0.19605827	-0.7004566	-0.5160341	-0.49127388	-0.966352	-0.3639593	-0.6661134	-0.5293875	-0.3816538	-0.38506603	-0.13386726	-0.5300102	-0.25058746	-0.016835213	-0.3427248	-0.63651085	-0.24804592	-0.6900058	-0.48788786	-0.33511448	-0.37448072	-0.63002586	0.68212605	-1.1716428	-0.45218658	-0.25807858	-0.5036268	-0.13691044	-0.09307575	1.6097908	1.2067804	1.7675018	1.5696125	1.6567554	1.3713331	1.3048239	1.6051807	2.0677223	1.2815418	1.7898722	1.4568319	2.1695318	1.599596	2.073907	1.057107	1.5853233	1.4682341	0.51318264	0.58320904	0.7246723	0.15887833	0.65462494	0.9120388	0.9339266	1.1478577	0.8450289	1.8441181	0.7497368	1.5568676	1.5277214	1.8624926	0.5291939	0.3283987	-0.26572132	0.27397537	0.28481865	0.16053581	0.6909485	0.98105717	0.7814884	1.8055811	1.1548738	1.0244389	0.7234945	-0.016176224	0.2155447	0.22608948	-0.4725561	0.53018856	-0.1461916	-0.01112175	0.23316574	0.08591938	1.2306938	0.75645447	0.7667036	-0.17991829	0.15293503	-0.008586884	-0.33817768	0.13672352	-0.09175968	0.5494499	1.1063719	1.139823	1.231473	0.73404694	0.25736523	1.6419067	1.0695295	1.0864182	1.3907824	0.67305756	0.36948013	0.6820545	0.80859756	0.27118587	-0.16593933	-0.4563427	0.58348274	-1.5720649	-0.44111538	-0.6215601	0.99873924	1.3164625	2.0721235	1.1017799	0.9089489	0.57319355	0.11990738	-0.5166197	-0.33498764	-0.12068367	-0.13753796	-0.49524546
TRIM22	-0.26140308	-0.11325264	0.020277023	-0.22327518	-0.55038166	-0.63912106	-0.4157467	-0.49371338	-0.8177881	-0.47445202	0.1391344	-0.9418516	-0.2602129	-0.00389576	-1.0149469	-0.927331	-0.13538551	-0.3161955	-0.7242899	-0.3600645	-0.49917984	-0.9531946	-1.3882227	-1.1787062	-0.7060499	-0.5293026	-0.35581875	-0.21572208	-0.62693024	-0.18324089	-0.061444283	-0.8325319	-0.7750206	0.13032055	-0.50321674	-0.53349876	-0.25603676	-0.34429646	-0.3156271	0.5175371	-1.1564674	-0.22424316	-0.3602047	-0.43942547	-0.19757557	-0.35138798	1.22402	0.76650715	1.5760508	1.0601854	1.0778942	0.64948463	1.2060461	1.0323915	1.5241995	0.6726618	1.2567873	0.4349146	1.3843803	0.80500984	0.98095036	0.47565174	1.5569477	0.8499193	0.17914295	0.48682117	0.7141571	0.2844677	0.594656	0.8866062	0.6373968	0.48374176	0.65717983	1.9077387	0.72730255	1.311614	1.128336	1.420618	-0.51315975	0.24202442	-0.5087347	0.00389576	-0.389081	-0.61077785	0.12018108	0.88375187	0.78977585	1.4453449	0.3622961	0.80091953	0.5777645	-0.054229736	0.17788029	-0.038230896	-0.37309837	0.39966106	-0.77317905	-0.38221836	0.112799644	-0.14327621	0.9807663	0.5817814	0.10604954	-0.367095	-0.80410767	-1.3572493	-0.56195545	-0.22147751	-0.14256954	0.67861176	0.785697	0.69022274	0.9977083	0.33434582	-0.034680367	1.3206663	0.51487637	0.71858406	1.2149134	-0.27499008	0.27220058	0.80609703	0.25648212	-0.4984951	-0.10845089	-0.20150661	0.09373665	-4.5211334	-0.7172699	-0.7418213	0.24732399	0.93319416	1.4783154	0.32616234	-0.40711975	0.19163227	0.24622536	-0.528636	0.021501541	-1.315897	-1.4547472	-1.323412
XAF1	-0.14262962	-0.28597355	-0.23025036	0.016759872	-0.2573471	-0.20777225	-0.031824112	-0.2558365	-0.3007431	-0.26222992	-0.016759872	-0.9843235	-0.537096	0.35052967	-0.8958101	-1.054307	0.9064264	-0.32844448	-0.7283697	-0.2908926	-0.39282036	-0.62437725	-0.90892124	-1.2732425	-0.6452341	-0.60954475	-0.28373718	-0.35467243	-0.6166096	-0.105475426	-0.15376091	-0.7559681	-0.62577915	0.45943642	-0.98737144	-0.88980293	-0.17273998	-0.4238453	-0.98498917	1.2551479	-1.2815056	-0.7070513	-0.66887665	-0.3901472	0.041069984	-0.6298361	2.0690737	1.6444287	2.3803406	1.9517021	2.2242508	1.7553234	1.9428439	2.1216402	2.4545894	1.2795877	1.9019556	1.6588321	2.0552835	1.3846917	1.6654239	0.90802956	2.644405	2.311664	0.8500719	1.3370051	1.5527091	1.2808547	1.5195112	2.2689686	1.8699565	2.3488803	1.9873819	2.121797	1.7913775	2.1195908	2.6328006	2.833232	0.07045078	-0.07394743	-0.54481125	0.007409573	-0.42319536	-1.0463667	-0.31918	1.821918	1.7724848	2.579198	1.729382	1.3725023	1.3586726	-0.49925518	0.6860938	0.8590679	-1.644218	-0.019114494	-1.0747232	0.9995327	0.4220171	-0.007409573	1.5215025	1.7493496	1.6785893	-0.8185172	0.52006435	0.366282	-1.3005557	-0.5073519	-1.063323	1.5387192	2.3175168	2.1903853	1.4071937	1.230938	1.0330858	2.1216707	2.2465758	2.4417377	2.4628162	0.5369768	0.83401394	1.7345691	1.8378901	1.3514132	-1.1387529	-0.15063953	-0.13697338	-0.43291187	-0.95649195	-1.450324	2.1212869	2.3846135	3.3623834	2.1377292	1.2647243	1.0894575	1.1399302	-0.2692933	0.21667862	-0.2591629	-0.69346046	-0.81588364
ZBP1	-0.47205544	-0.08526611	-0.097794056	-0.083370686	-0.17782688	-0.22484684	-0.1093421	-0.5051422	-0.5107889	-0.9518323	-0.3619938	-0.22521353	-0.37721252	0.25603962	-0.5499549	-0.58959055	0.422544	-0.5704422	-0.47710896	-0.53406334	-0.3843565	-0.3677907	-0.5528655	-0.71731186	-0.28228664	0.005548954	-0.27135468	-0.5119343	-0.30175972	-0.32884216	-0.09125137	-0.6237221	-0.50686264	-0.23704243	-0.55878925	0.004763603	-0.5026827	-0.48963928	-0.387527	0.74779797	-0.51939297	-0.59411335	-0.49386358	-0.43070602	-0.24574566	-0.1857748	2.657467	1.9722424	3.0807724	2.5101604	3.1953526	2.5245514	2.8692074	2.819315	3.2893353	1.7757173	3.4844332	2.5575485	3.360796	2.300456	3.2443657	1.9442244	3.8595295	2.8383455	0.67565966	0.69220304	1.1139383	0.5816264	0.5459223	1.1878309	1.7974648	2.501522	1.2790442	1.9113269	0.9756808	1.3532319	1.7926307	2.47228	0.4516158	0.08216047	-0.3475585	-0.12956572	-0.115829945	-0.11460543	0.19637823	1.9779987	0.93336964	2.1967864	0.943058	-0.036370754	0.6205497	-0.47865915	0.058843136	-0.028309822	-1.093298	0.16500044	-0.25262785	-0.40223408	0.119365215	0.086055756	0.80674124	0.54909086	1.0016665	-0.26966286	0.7084751	0.67943573	-0.5492797	-0.3665142	-0.43533516	0.88918495	1.1771698	1.0368028	0.7575989	0.12631941	0.18530083	1.7127719	1.8382239	1.905355	1.8009357	0.28161383	0.32777405	1.5559273	1.2642078	-1.0314326	-0.39214802	-0.38643932	0.05030203	-0.064266205	-0.010316372	0.34622192	1.5549865	2.4699554	2.1381202	1.3121886	0.6114044	0.58834696	0.68060875	-0.28203392	-0.4943409	-0.34284163	0.05009222	-0.33902788
