group	EIF2AK2	IFI44	IFI44L	IFIT3	IFITM3	PARP9	PRIC285	TRIM22	XAF1	ZBP1
control	9.2064463	8.25945412	6.92068943	8.88425105	10.988612	9.0797552	8.84044892	8.76184076	8.94246061	8.30345382
control	8.1008311	8.25860984	7.21795457	7.94669336	10.3251825	9.24792703	9.50990174	8.53841423	7.97424041	8.84795104
control	8.74092722	7.66297094	6.74710539	9.25497473	10.6103494	9.46778262	9.73280746	9.17899891	8.59510677	8.21503786
control	8.75044505	8.31760617	7.14242569	7.84246223	9.7977784	8.46583982	8.77800647	8.6699643	8.63407118	8.30345382
control	8.33271286	8.95550752	8.32917339	8.67646982	10.4877928	8.84449456	9.05664909	9.06967075	9.13337909	8.05238437
control	8.25949518	8.84108311	7.46953193	8.68958851	11.2383343	9.04057138	8.80827724	9.16835497	9.04918094	8.06238943
control	8.08546502	8.55690719	7.21241662	8.05419947	11.0095508	8.34637367	8.80818134	8.93301931	8.29034008	7.83263119
control	8.59403641	8.17519273	7.47425675	8.91316797	10.7285311	9.47773297	8.9017759	9.31078044	9.31616656	7.90342999
control	7.87485597	7.41557109	6.10821058	9.47349613	10.6436109	8.75188076	8.64058478	8.80258131	8.57466391	8.33660341
control	8.72451624	8.10415946	7.23255236	9.65611287	11.2050528	9.484176	9.50163698	9.06075537	8.7959721	8.33844536
control	9.05087549	8.3997214	7.87166995	9.38948636	10.2249411	9.28135909	9.48736093	8.93601686	9.34047637	8.7606491
control	8.62479911	8.06102928	7.53177366	8.32647758	9.36118408	8.44887246	8.48260873	8.65022747	8.72231813	8.3983106
control	8.69398937	8.22738394	7.81729388	7.9336759	9.12476237	8.36726796	8.73554689	8.34306665	8.39008166	8.75577956
control	7.91347707	8.30197945	6.76298656	8.62016923	11.5549116	8.91291328	8.60706987	8.65838038	8.89693872	7.4866098
control	8.86227129	8.77843464	8.09557425	8.46700675	10.5962419	8.96830622	9.62444237	9.23617544	9.12142473	8.70294596
control	8.63630632	8.07714097	7.1479121	8.88703048	10.4107725	8.74311806	9.07266214	8.73620031	8.46886308	8.25393019
control	8.11426811	8.15795926	7.0340418	8.6915872	11.629979	9.13909059	8.78350969	8.74719973	8.89273193	7.77322033
control	10.463818	11.9363867	11.7075965	11.4622241	13.6304985	10.5580371	10.3967992	10.5257622	10.9544739	10.2583691
control	12.050871	12.6681469	12.8413081	13.0268268	13.8490746	11.4157296	11.8969189	11.3684223	12.0499648	11.7470708
control	8.38625818	8.52141102	7.66414124	7.93168114	9.85261228	8.82296888	8.77408521	8.43549752	8.85164122	8.40991465
control	8.11529331	8.85241666	7.34194642	8.07922265	10.587689	8.20762352	7.92231366	8.89410529	8.81347782	7.76950901
control	9.77877239	8.72825405	8.39409404	10.1731321	11.0131098	8.37316215	8.80694565	7.35239718	9.66934731	8.66239129
control	8.21390443	8.59736551	6.91471031	8.973749	11.6682396	9.09235739	8.27668988	9.80024643	9.14605379	7.84227332
control	8.54095664	8.09607162	6.87145385	8.02121522	9.19081485	8.6348892	9.17748899	8.79363239	8.1730918	8.45336226
control	8.54756181	9.23749187	9.29983378	9.8386822	11.1425751	10.0677709	9.66529483	9.66905692	9.67250214	8.46076891
control	7.79676867	8.8609879	7.02329632	8.05896555	11.6906864	8.60646747	8.27611658	9.01698871	8.5619966	8.07136063
control	8.8771774	9.11543239	7.66921572	8.34011997	8.64832394	8.61277286	9.21606251	8.55384325	9.31446032	8.47149181
control	7.63736245	8.32491477	7.18184795	8.41522031	9.9416266	8.77931462	8.80484777	8.79429193	9.18483067	7.80833622
control	8.84404336	9.50368981	8.71540602	9.04086859	11.5263647	9.24822877	8.6685758	9.08799943	9.20851948	7.6635861
control	8.48374136	8.59158838	7.344121	8.23646918	10.8854425	8.42190383	8.35128399	8.55460455	8.86898266	7.64264464
control	9.36044284	9.94657478	9.8758225	10.4815888	13.3094996	9.72616882	10.2051018	9.94022302	10.2862606	8.77470023
control	9.40458066	9.96666694	9.65919639	10.6017959	10.7347426	9.55447067	9.57652403	9.64209828	10.2162475	8.60396899
control	8.34676856	8.3434589	6.91936392	8.73102877	10.5693525	8.9994104	8.97467643	9.27714696	9.06984338	7.70544923
control	8.44600804	8.27413491	8.0702793	8.77396238	9.88004799	9.0026218	9.09385592	9.41003725	9.18075779	7.98929515
control	9.04537444	8.94362132	8.71149491	9.32193486	11.3829212	9.06500461	9.33998402	8.46891194	9.57460583	8.2906405
control	9.38787495	8.48392619	7.523471	8.25389427	10.3302469	8.37042587	8.84591621	8.44520816	8.8117035	8.5058306
control	10.0507207	9.59423128	9.07696493	10.4517912	11.7928001	9.42705341	9.99171315	9.28247548	9.7650399	8.66512127
control	8.93292219	7.69147205	7.1866808	9.23909726	9.92762865	9.21282878	9.20121677	8.74693346	8.92987826	8.76231592
control	8.40553081	8.42464963	7.98804101	9.52167012	11.4212696	9.16024331	8.89967111	9.02022882	9.01464513	8.11352392
control	8.23755225	7.92136789	6.52206171	8.68576393	8.1844266	8.7229366	8.39732466	8.68562939	8.91157535	7.51955213
control	9.35948867	10.1270683	9.6692201	10.9226736	11.6032526	9.94174325	9.88985163	9.89150911	10.2558689	9.03080092
control	9.11900412	9.32270221	7.76583506	9.45124553	11.4397976	9.24487184	9.28266845	8.98814244	9.19901439	8.30331591
control	8.21065333	8.3282122	6.91084297	8.42949378	10.2324113	9.02200654	8.52177983	8.75955501	8.91651217	7.63451704
control	8.90754988	8.86050909	8.08413976	8.84836818	10.1226313	8.99485886	9.46146001	8.87019979	9.05024374	7.93120673
