id	EIF2AK2	PRIC285	IFI44	IFI44L	IFIT3	IFITM3	PARP9	TRIM22	XAF1	ZBP1	lable
GSM955680	-0.06263876	-0.2538929	-1.0025549	-1.737937	-1.2121458	-0.4257946	-0.65286064	-0.26140308	-0.14262962	-0.47205544	0
GSM955681	-0.12605524	-0.16128302	-1.2592034	-1.4510846	-0.2641058	-0.1114912	0.40980148	-0.11325264	-0.28597355	-0.08526611	0
GSM955682	-0.056773186	-0.13032627	-0.64505386	-1.2994156	-0.27639008	-0.09057903	0.13599205	0.020277023	-0.23025036	-0.097794056	0
GSM955683	0.14546633	-0.25393534	-1.5119405	-1.8887253	-0.765049	-0.105293274	-0.2777834	-0.22327518	0.016759872	-0.083370686	0
GSM955684	0.08236694	-0.13826847	-1.3557796	-1.2327394	-0.88074493	-0.029650688	-0.46864986	-0.55038166	-0.2573471	-0.17782688	0
GSM955685	-0.14513445	-0.123485565	-1.6019135	-1.9592409	-0.9368105	-0.51957417	-0.57676506	-0.63912106	-0.20777225	-0.22484684	0
GSM955686	-0.16750526	-0.25483942	-0.78242636	-1.2070212	-0.84234047	0.12549496	-0.22133636	-0.4157467	-0.031824112	-0.1093421	0
GSM955687	-0.2644968	-0.25624418	-1.1219983	-0.84988403	-0.7274332	-0.13783073	-0.23818779	-0.49371338	-0.2558365	-0.5051422	0
GSM955688	-0.18331146	-0.3005724	-1.363884	-2.6434174	-1.4155989	0.018569946	-0.3289528	-0.8177881	-0.3007431	-0.5107889	0
GSM955689	-0.8200631	-0.46121788	-1.2539344	-1.6800108	-0.7792311	-0.5285034	-0.62004185	-0.47445202	-0.26222992	-0.9518323	0
GSM955690	-0.07083225	0.00506258	-0.55180025	-0.43696117	-0.08964729	-0.000911	-0.06383133	0.1391344	-0.016759872	-0.3619938	0
GSM955691	-0.5263972	0.055146694	-1.7123556	-2.6315598	-1.6412783	-0.28353596	-0.5862732	-0.9418516	-0.9843235	-0.22521353	0
GSM955692	-0.5800681	-0.21696424	-1.605577	-2.2060328	-1.3365068	-0.40977287	-0.21788692	-0.2602129	-0.537096	-0.37721252	0
GSM955693	-0.02021122	-0.1344924	-0.47754478	-0.29697323	-0.33291054	-0.56992435	-0.22551441	-0.00389576	0.35052967	0.25603962	0
GSM955694	-0.35914373	-0.026144505	-2.2177815	-2.7569504	-1.6421471	-0.120197296	-0.6703925	-1.0149469	-0.8958101	-0.5499549	0
GSM955695	-0.39468384	-0.74228764	-2.329287	-3.4451027	-1.457941	-0.6696148	-0.77242947	-0.927331	-1.054307	-0.58959055	0
GSM955696	0.421278	0.050965786	0.2626772	0.5800009	-0.14546967	-0.042616844	0.004722595	-0.13538551	0.9064264	0.422544	0
GSM955697	-0.15775108	-0.23839855	-1.2005711	-1.7759595	-1.2210464	-0.20515728	-0.19605827	-0.3161955	-0.32844448	-0.5704422	0
GSM955698	-0.6490731	-0.38160944	-2.440569	-2.5917616	-1.7616463	-0.3420534	-0.7004566	-0.7242899	-0.7283697	-0.47710896	0
GSM955699	0.042948723	-0.13002062	-1.748085	-1.7514572	-0.847003	-0.32870483	-0.5160341	-0.3600645	-0.2908926	-0.53406334	0
GSM955700	-0.3573599	-0.16444731	-1.6199322	-1.9339771	-1.0055971	-0.44168282	-0.49127388	-0.49917984	-0.39282036	-0.3843565	0
GSM955701	-0.114230156	-0.26288462	-1.8164401	-2.012722	-1.8483028	-0.6720066	-0.966352	-0.9531946	-0.62437725	-0.3677907	0
GSM955702	-0.4055729	-0.28147602	-1.7657909	-3.5737228	-1.7834086	-0.43272686	-0.3639593	-1.3882227	-0.90892124	-0.5528655	0
GSM955703	-0.56296206	-0.09270334	-2.1797576	-2.880415	-1.4440193	-0.22811604	-0.6661134	-1.1787062	-1.2732425	-0.71731186	0
GSM955704	-0.41320276	-0.34310913	-1.5277839	-2.2073426	-0.96631336	-0.2710495	-0.5293875	-0.7060499	-0.6452341	-0.28228664	0
GSM955705	-0.27790642	-0.24641657	-1.129643	-1.5223165	-0.7629528	-0.08787727	-0.3816538	-0.5293026	-0.60954475	0.005548954	0
GSM955706	-0.7130294	-0.48736477	-0.80008364	-2.0913572	-1.5030708	-0.60425854	-0.38506603	-0.35581875	-0.28373718	-0.27135468	0
GSM955707	-0.1890378	-0.3660984	-1.2019658	-1.7406106	-0.9040861	-0.17639065	-0.13386726	-0.21572208	-0.35467243	-0.5119343	0
GSM955708	-0.69607496	-0.27533293	-1.5639801	-1.923728	-1.6355104	-0.047927856	-0.5300102	-0.62693024	-0.6166096	-0.30175972	0
GSM955709	-0.10066414	-0.22787905	-0.99189425	-0.95183516	-0.7139721	-0.52957535	-0.25058746	-0.18324089	-0.105475426	-0.32884216	0
GSM955710	-0.15434313	-0.385705	-0.8115525	-1.6795874	-1.0720024	-0.085897446	-0.016835213	-0.061444283	-0.15376091	-0.09125137	0
GSM955711	-0.34064007	-0.06424236	-1.5124717	-2.227851	-1.2728958	-0.041633606	-0.3427248	-0.8325319	-0.7559681	-0.6237221	0
GSM955712	-0.5814929	-0.79355764	-2.0224342	-2.2496233	-1.1201525	-0.7845974	-0.63651085	-0.7750206	-0.62577915	-0.50686264	0
GSM955713	0.089372635	0.09468031	0.025262833	0.51835823	-0.04139328	-0.49650288	-0.24804592	0.13032055	0.45943642	-0.23704243	0
GSM955714	-0.6505656	-0.52485514	-2.0171018	-2.9421701	-1.5807753	-0.7951727	-0.6900058	-0.50321674	-0.98737144	-0.55878925	0
GSM955715	-0.743206	-0.33107138	-2.0489392	-2.2626333	-0.88813114	-0.30997562	-0.48788786	-0.53349876	-0.88980293	0.004763603	0
GSM955716	-0.2592659	-0.44443798	-0.4300928	-0.8097029	-0.60926247	-0.82372284	-0.33511448	-0.25603676	-0.17273998	-0.5026827	0
GSM955717	-0.103485584	-0.008992195	-1.3304958	-1.3399835	-0.9827795	-0.11856079	-0.37448072	-0.34429646	-0.4238453	-0.48963928	0
GSM955718	-0.65149164	-0.59045744	-1.603416	-2.4733095	-1.2482033	-0.5608473	-0.63002586	-0.3156271	-0.98498917	-0.387527	0
GSM955719	0.9384451	0.7567272	1.4360142	1.9731398	1.2708349	0.50946426	0.68212605	0.5175371	1.2551479	0.74779797	0
GSM955720	-0.85275126	-0.47584152	-2.1991434	-2.3893704	-1.4863024	-0.8615351	-1.1716428	-1.1564674	-1.2815056	-0.51939297	0
GSM955721	-0.1624713	-0.35226917	-1.2751846	-1.822794	-1.5398092	0.05833435	-0.45218658	-0.22424316	-0.7070513	-0.59411335	0
GSM955722	-0.5379834	-0.35251856	-1.71345	-2.4622746	-1.065649	0.000911	-0.25807858	-0.3602047	-0.66887665	-0.49386358	0
GSM955723	-0.20603752	-0.22794485	-1.7667942	-2.0673285	-1.0688639	-0.31180954	-0.5036268	-0.43942547	-0.3901472	-0.43070602	0
GSM955724	0.1273117	0.002418995	-0.84066725	-0.1353426	-0.31421185	-0.41207123	-0.13691044	-0.19757557	0.041069984	-0.24574566	0
GSM955725	-0.023142815	0.007127762	-0.80491257	-0.9017401	-0.55039024	-0.006505013	-0.09307575	-0.35138798	-0.6298361	-0.1857748	0
GSM955744	0.25675297	0.6391444	0.6958494	2.072319	0.708581	0.5709305	0.51318264	0.17914295	0.8500719	0.67565966	1
GSM955745	0.63775826	0.1174202	2.1808558	2.655323	1.390893	0.7722502	0.58320904	0.48682117	1.3370051	0.69220304	1
GSM955746	0.83445835	0.19245386	2.8548079	3.0696507	1.5356884	0.66293526	0.7246723	0.7141571	1.5527091	1.1139383	1
GSM955747	0.524663	0.09197521	1.2988482	2.3218918	1.0054502	0.7189512	0.15887833	0.2844677	1.2808547	0.5816264	1
GSM955748	0.848649	0.38198042	2.3169794	2.620676	1.5424423	0.34497547	0.65462494	0.594656	1.5195112	0.5459223	1
GSM955749	1.4696016	0.6634383	2.6237297	3.384861	2.0711966	1.0550451	0.9120388	0.8866062	2.2689686	1.1878309	1
GSM955750	1.046484	1.0339661	2.5187025	3.0448818	2.095004	1.0676842	0.9339266	0.6373968	1.8699565	1.7974648	1
GSM955751	0.8874731	1.537744	2.5440598	3.2537289	1.9775515	0.99253845	1.1478577	0.48374176	2.3488803	2.501522	1
GSM955752	0.8897295	0.35040808	2.189165	3.0398045	1.5846748	0.7287197	0.8450289	0.65717983	1.9873819	1.2790442	1
GSM955753	2.0109396	1.5450997	3.6921349	3.4565039	2.4568157	0.5111866	1.8441181	1.9077387	2.121797	1.9113269	1
GSM955754	0.87175465	0.7734766	2.2268333	2.8130198	1.9663286	0.40289497	0.7497368	0.72730255	1.7913775	0.9756808	1
GSM955755	1.7845373	0.71065664	3.1130095	3.3025131	2.3354282	0.42435265	1.5568676	1.311614	2.1195908	1.3532319	1
GSM955756	1.5017319	1.042418	3.0120869	2.697281	2.0417423	0.72277164	1.5277214	1.128336	2.6328006	1.7926307	1
GSM955757	1.9627285	1.0726295	3.9016066	3.9571476	2.5447998	0.32595253	1.8624926	1.420618	2.833232	2.47228	1
GSM955758	0.47802925	0.6729617	0.1866231	0.035182	0.042793274	0.074251175	0.5291939	-0.51315975	0.07045078	0.4516158	1
GSM955759	-0.47498608	-0.42803383	0.44382763	-0.4103794	-0.575717	-0.38502026	0.3283987	0.24202442	-0.07394743	0.08216047	1
GSM955760	-0.552372	-0.3673334	-0.62286186	-1.0388498	-0.43335533	-0.31084824	-0.26572132	-0.5087347	-0.54481125	-0.3475585	1
GSM955761	-0.039377213	-0.24576378	0.4658079	-0.040207863	-0.042793274	-0.2144165	0.27397537	0.00389576	0.007409573	-0.12956572	1
GSM955762	0.15968418	0.35375643	-0.91831446	-1.3753033	-0.67977333	0.39193344	0.28481865	-0.389081	-0.42319536	-0.115829945	1
GSM955763	0.38938284	0.26967192	-1.599813	-2.105667	-0.61050606	0.33094597	0.16053581	-0.61077785	-1.0463667	-0.11460543	1
GSM955764	-0.008545876	-0.10648584	0.07193756	-0.53141737	-0.3400011	0.31517887	0.6909485	0.12018108	-0.31918	0.19637823	1
GSM955765	1.7833967	1.2658334	2.9965582	3.2744246	1.8312969	0.77198505	0.98105717	0.88375187	1.821918	1.9779987	1
GSM955766	1.3284483	0.026911259	2.2472343	2.5765553	1.719183	0.28687	0.7814884	0.78977585	1.7724848	0.93336964	1
GSM955767	2.5753489	1.3944879	3.4762192	3.580392	2.7001057	1.0264177	1.8055811	1.4453449	2.579198	2.1967864	1
GSM955768	1.7116156	1.0088077	1.5311251	2.5186872	1.4990616	0.5109253	1.1548738	0.3622961	1.729382	0.943058	1
GSM955769	0.7952204	0.16156149	1.9303007	1.9005566	1.3713465	-0.1033268	1.0244389	0.80091953	1.3725023	-0.036370754	1
GSM955770	0.7035351	0.115436554	1.9542904	2.074956	1.7537079	0.40393543	0.7234945	0.5777645	1.3586726	0.6205497	1
GSM955771	-0.05870056	-0.5385566	-0.20286608	-0.29884148	-0.8126993	-0.697443	-0.016176224	-0.054229736	-0.49925518	-0.47865915	1
GSM955772	0.3749056	-0.23131657	1.3705492	1.6307755	0.449852	-0.41544533	0.2155447	0.17788029	0.6860938	0.058843136	1
GSM955773	0.7700634	0.052090168	0.6702924	1.5513754	0.49655724	-0.2017107	0.22608948	-0.038230896	0.8590679	-0.028309822	1
GSM955774	-0.2362814	-0.3533063	-1.824337	-2.1843662	-1.2226076	-0.25791168	-0.4725561	-0.37309837	-1.644218	-1.093298	1
GSM955775	0.18866158	-0.23810434	0.62402725	0.44325256	0.6099787	0.17839432	0.53018856	0.39966106	-0.019114494	0.16500044	1
GSM955776	0.3569169	-0.12299919	-1.6168032	-1.8615556	-0.7735491	0.052096367	-0.1461916	-0.77317905	-1.0747232	-0.25262785	1
GSM955777	0.9995346	-0.34715033	1.5513544	1.6285925	0.7644558	0.1969366	-0.01112175	-0.38221836	0.9995327	-0.40223408	1
GSM955778	0.08805084	-0.49661875	0.09123993	-0.035182	0.21217823	0.011306763	0.23316574	0.112799644	0.4220171	0.119365215	1
GSM955779	-0.41391373	-0.22018147	0.07559776	-0.34554005	0.10359287	0.024487495	0.08591938	-0.14327621	-0.007409573	0.086055756	1
GSM955780	1.1487894	0.46773386	2.8733463	2.8684807	1.7441301	0.4381752	1.2306938	0.9807663	1.5215025	0.80674124	1
GSM955781	1.5113583	0.30782604	2.0289087	2.7583103	1.5966797	0.40719032	0.75645447	0.5817814	1.7493496	0.54909086	1
GSM955782	1.2996511	0.84132814	1.3367376	2.3357315	1.8403873	0.5304165	0.7667036	0.10604954	1.6785893	1.0016665	1
GSM955783	-0.17828178	-0.32450485	-0.62013245	-1.5265479	-0.28514385	-0.41807556	-0.17991829	-0.367095	-0.8185172	-0.26966286	1
GSM955784	0.39801502	0.55447435	0.0220685	-0.36378288	0.49188232	0.10611248	0.15293503	-0.80410767	0.52006435	0.7084751	1
GSM955785	0.48502302	0.49272346	-0.6600542	-0.67567253	-0.005450249	0.07999706	-0.008586884	-1.3572493	0.366282	0.67943573	1
GSM955786	-0.60343885	-0.3132453	-1.5456872	-2.0315218	-1.5749311	-0.3103199	-0.33817768	-0.56195545	-1.3005557	-0.5492797	1
GSM955787	-0.5181613	-0.54536295	-0.5663471	-1.9373016	-1.4959288	-0.5528774	0.13672352	-0.22147751	-0.5073519	-0.3665142	1
GSM955788	-0.5940418	-0.5952077	-0.24865103	-1.4726076	-1.8317671	-0.6269331	-0.09175968	-0.14256954	-1.063323	-0.43533516	1
GSM955789	1.1023722	0.9274483	2.3691063	2.5498543	1.5111666	0.36493206	0.5494499	0.67861176	1.5387192	0.88918495	1
GSM955790	1.1172438	0.564775	2.8817196	3.199706	2.0020342	0.5519314	1.1063719	0.785697	2.3175168	1.1771698	1
GSM955791	0.90378475	0.3240409	2.7254534	2.9222374	1.7461119	0.24268532	1.139823	0.69022274	2.1903853	1.0368028	1
GSM955792	1.2724648	0.2889347	3.0798702	2.5523863	1.6563663	0.09971905	1.231473	0.9977083	1.4071937	0.7575989	1
GSM955793	1.0379105	-0.002418995	2.021224	1.919775	1.3598385	0.056921005	0.73404694	0.33434582	1.230938	0.12631941	1
GSM955794	0.56832457	0.020750523	1.6397352	1.351882	0.98419	-0.12813663	0.25736523	-0.034680367	1.0330858	0.18530083	1
GSM955795	1.6564932	0.8992348	3.4563818	3.5135164	2.2808886	0.7568283	1.6419067	1.3206663	2.1216707	1.7127719	1
GSM955796	1.594037	1.2984691	2.6043081	3.2675486	2.4454222	1.127285	1.0695295	0.51487637	2.2465758	1.8382239	1
GSM955797	2.2462225	1.6924758	2.7132187	3.3272343	2.3692312	1.2104263	1.0864182	0.71858406	2.4417377	1.905355	1
GSM955798	1.5828753	0.98108816	2.8473434	3.3999405	2.178525	0.63279915	1.3907824	1.2149134	2.4628162	1.8009357	1
GSM955799	0.39713192	-0.042654037	-0.456182	0.13239002	0.005450249	0.4370947	0.67305756	-0.27499008	0.5369768	0.28161383	1
GSM955800	0.28329372	-0.25697756	0.7493324	1.2576237	0.81020546	0.34632015	0.36948013	0.27220058	0.83401394	0.32777405	1
GSM955801	1.1753874	1.1083612	2.6579762	3.1348305	1.7182121	0.5462103	0.6820545	0.80609703	1.7345691	1.5559273	1
GSM955802	1.3138056	0.5344534	2.428049	2.9761076	1.6537685	0.6908531	0.80859756	0.25648212	1.8378901	1.2642078	1
GSM955803	0.07322502	0.3880353	0.6197572	-2.325161	0.6578655	-0.07863426	0.27118587	-0.4984951	1.3514132	-1.0314326	1
GSM955804	-0.5207119	-0.8815489	-0.8796158	-1.566679	-1.6616712	-0.354311	-0.16593933	-0.10845089	-1.1387529	-0.39214802	1
GSM955805	-0.20994616	-0.3063059	-0.5330429	-0.48443317	-0.7264757	-0.36846066	-0.4563427	-0.20150661	-0.15063953	-0.38643932	1
GSM955806	-0.45329762	-0.15482426	-0.03691578	-0.49429703	0.15513039	-0.36490726	0.58348274	0.09373665	-0.13697338	0.05030203	1
GSM955807	-0.16608143	-0.5183959	-1.8092918	-3.3927917	-1.3671646	-3.1624527	-1.5720649	-4.5211334	-0.43291187	-0.064266205	1
GSM955808	-0.53769016	-0.12866879	-1.773252	-2.4783525	-1.3065176	0.06631851	-0.44111538	-0.7172699	-0.95649195	-0.010316372	1
GSM955809	-0.39122295	-0.18980932	-1.8989673	-3.4970198	-1.3503122	0.046707153	-0.6215601	-0.7418213	-1.450324	0.34622192	1
GSM955810	1.7996988	0.9484186	2.2396593	2.8913908	1.6758833	0.37182522	0.99873924	0.24732399	2.1212869	1.5549865	1
GSM955811	1.4115381	1.4849815	2.7966003	3.6354856	2.2233706	1.041399	1.3164625	0.93319416	2.3846135	2.4699554	1
GSM955812	1.709651	1.1957755	4.0689898	4.1680107	2.266698	0.7016182	2.0721235	1.4783154	3.3623834	2.1381202	1
GSM955813	0.7226896	0.84327364	1.8430824	2.8084402	1.5980425	0.5279646	1.1017799	0.32616234	2.1377292	1.3121886	1
GSM955814	0.13440418	-0.05995369	0.5198684	1.1769066	0.795619	-0.003434181	0.9089489	-0.40711975	1.2647243	0.6114044	1
