id	type
E2F4	TF
ELK1	TF
HNF4A	TF
ZNF274	TF
ATF2	TF
GABPA	TF
ZZZ3	TF
TCF12	TF
CEBPD	TF
FOSL2	TF
ZNF217	TF
ZNF263	TF
TCF3	TF
ARID3A	TF
TAL1	TF
SIX5	TF
SREBF1	TF
PBX3	TF
ATF1	TF
MYOD1	TF
MAZ	TF
ELK4	TF
REST	TF
TCF7L2	TF
ELF1	TF
CREB1	TF
SP2	TF
FOXM1	TF
CBX2	TF
CTCFL	TF
BCL11A	TF
MYOG	TF
ZNF384	TF
ESR1	TF
USF2	TF
SRF	TF
ZBTB7A	TF
ZBTB33	TF
ZNF143	TF
NFIC	TF
FOSL1	TF
FOXA1	TF
CUX1	TF
SPI1	TF
TEAD4	TF
MEF2C	TF
SETDB1	TF
EGR1	TF
MAFF	TF
MAFK	TF
BACH1	TF
GATA1	TF
MYBL2	TF
NANOG	TF
MBD4	TF
YY1	TF
MXI1	TF
TBP	TF
MYB	TF
RXRA	TF
BHLHE40	TF
JUND	TF
STAT2	TF
IRF1	TF
STAT1	TF
RELA	TF
IRF4	TF
MYC	TF
STAT5A	TF
RUNX3	TF
STAT3	TF
FLI1	TF
ATF3	TF
BATF	TF
PRDM1	TF
GATA2	TF
ETS1	TF
RFX5	TF
IKZF1	TF
JUN	TF
EBF1	TF
CEBPB	TF
USF1	TF
NFE2	TF
FOS	TF
PAX5	TF
POU2F2	TF
GATA3	TF
E2F1	TF
E2F6	TF
MAX	TF
CTCF	TF
NR3C1	TF
EIF2AK2	gene
IFI44	gene
IFIT3	gene
IFITM3	gene
PARP9	gene
TRIM22	gene
ZBP1	gene
IFI44L	gene
XAF1	gene
