Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"1"	"STAT2"	"2.2"	"ARCHS4 Coexpression,3;ENCODE ChIP-seq,1;Enrichr Queries,4;ReMap ChIP-seq,1;GTEx Coexpression,2"	"IFITM3,ZBP1,IFI44,EIF2AK2,PARP9,XAF1,TRIM22,IFIT3,IFI44L"
"gene_set_query"	"2"	"PLSCR1"	"4.0"	"ARCHS4 Coexpression,2;GTEx Coexpression,6"	"IFITM3,EIF2AK2,IFI44,PARP9,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"3"	"IRF7"	"7.667"	"ARCHS4 Coexpression,6;Enrichr Queries,8;GTEx Coexpression,9"	"ZBP1,IFITM3,EIF2AK2,IFI44,PARP9,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"4"	"SP140L"	"10.0"	"ARCHS4 Coexpression,15;GTEx Coexpression,5"	"ZBP1,PARP9,XAF1,TRIM22"
"gene_set_query"	"5"	"IRF9"	"10.5"	"ARCHS4 Coexpression,9;Enrichr Queries,2;ReMap ChIP-seq,30;GTEx Coexpression,1"	"ZBP1,IFITM3,IFI44,EIF2AK2,PARP9,XAF1,IFIT3,TRIM22,IFI44L"
"gene_set_query"	"6"	"BATF2"	"12.0"	"ARCHS4 Coexpression,11;Enrichr Queries,5;GTEx Coexpression,20"	"ZBP1,IFITM3,EIF2AK2,IFI44,PARP9,XAF1,IFI44L,IFIT3,TRIM22"
"gene_set_query"	"7"	"SP100"	"12.0"	"ARCHS4 Coexpression,4;Enrichr Queries,7;GTEx Coexpression,25"	"IFITM3,ZBP1,EIF2AK2,IFI44,PARP9,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"8"	"IRF1"	"12.67"	"Literature ChIP-seq,1;ARCHS4 Coexpression,26;ENCODE ChIP-seq,6;Enrichr Queries,9;ReMap ChIP-seq,2;GTEx Coexpression,32"	"ZBP1,IFITM3,EIF2AK2,IFI44,PARP9,XAF1,IFIT3,IFI44L,TRIM22"
"gene_set_query"	"9"	"SP140"	"16.67"	"ARCHS4 Coexpression,10;Enrichr Queries,11;GTEx Coexpression,29"	"ZBP1,IFITM3,EIF2AK2,IFI44,PARP9,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"10"	"TFEC"	"23.33"	"ARCHS4 Coexpression,29;Enrichr Queries,20;GTEx Coexpression,21"	"IFITM3,ZBP1,IFI44,PARP9,XAF1,TRIM22,IFI44L,IFIT3"
"gene_set_query"	"11"	"STAT1"	"26.17"	"Literature ChIP-seq,134;ARCHS4 Coexpression,7;ENCODE ChIP-seq,2;Enrichr Queries,6;ReMap ChIP-seq,4;GTEx Coexpression,4"	"IFITM3,ZBP1,EIF2AK2,IFI44,PARP9,XAF1,IFI44L,TRIM22,IFIT3"
"gene_set_query"	"12"	"BATF3"	"26.33"	"ARCHS4 Coexpression,23;Enrichr Queries,53;GTEx Coexpression,3"	"IFITM3,EIF2AK2,IFI44,PARP9,IFI44L,TRIM22,IFIT3"
