ChemicalId	GeneSymbol
C078765	EIF2AK2
D015075	EIF2AK2
C000625361	EIF2AK2
C041398	EIF2AK2
C496492	EIF2AK2
D000082	EIF2AK2
D016604	EIF2AK2
D000077237	EIF2AK2
D001564	EIF2AK2
C026487	EIF2AK2
D019256	EIF2AK2
D002945	EIF2AK2
C018021	EIF2AK2
D016572	EIF2AK2
D000077209	EIF2AK2
C007262	EIF2AK2
D003976	EIF2AK2
D003993	EIF2AK2
D004317	EIF2AK2
D004791	EIF2AK2
D004958	EIF2AK2
D005557	EIF2AK2
C000617853	EIF2AK2
D000077190	EIF2AK2
D007559	EIF2AK2
C544151	EIF2AK2
D008070	EIF2AK2
D008627	EIF2AK2
D008701	EIF2AK2
D009538	EIF2AK2
C041747	EIF2AK2
D019308	EIF2AK2
D052638	EIF2AK2
D010936	EIF2AK2
D011070	EIF2AK2
C009131	EIF2AK2
D011794	EIF2AK2
D012643	EIF2AK2
D022622	EIF2AK2
D019311	EIF2AK2
D000077210	EIF2AK2
D000077204	EIF2AK2
C004648	EIF2AK2
D013755	EIF2AK2
D014635	EIF2AK2
D014810	EIF2AK2
C511295	IFI44
C496492	IFI44
D000082	IFI44
D016604	IFI44
D000393	IFI44
C000228	IFI44
D017632	IFI44
D001379	IFI44
D001564	IFI44
D000069286	IFI44
D002104	IFI44
C459604	IFI44
C023676	IFI44
D003031	IFI44
C018021	IFI44
D003300	IFI44
D016572	IFI44
C107676	IFI44
D003703	IFI44
D004008	IFI44
C472511	IFI44
D004317	IFI44
C045651	IFI44
D004958	IFI44
D005557	IFI44
D006052	IFI44
C000593030	IFI44
C031927	IFI44
D007472	IFI44
D007479	IFI44
C561695	IFI44
D008070	IFI44
D008727	IFI44
D008775	IFI44
C523799	IFI44
C568376	IFI44
D009532	IFI44
C029938	IFI44
D009538	IFI44
C558013	IFI44
C046012	IFI44
C076994	IFI44
C556557	IFI44
D010936	IFI44
D011239	IFI44
D012822	IFI44
D012906	IFI44
C017947	IFI44
C016766	IFI44
D000077204	IFI44
D013749	IFI44
C494892	IFI44
D014028	IFI44
C479163	IFI44
D014212	IFI44
D014750	IFI44
C511295	IFI44L
C029497	IFI44L
C511621	IFI44L
C023035	IFI44L
C459179	IFI44L
D000968	IFI44L
C000228	IFI44L
D001151	IFI44L
D017638	IFI44L
D001379	IFI44L
C087670	IFI44L
D001554	IFI44L
D001564	IFI44L
C006780	IFI44L
C018475	IFI44L
C023676	IFI44L
C012843	IFI44L
D003375	IFI44L
D016572	IFI44L
C107676	IFI44L
D003703	IFI44L
D004008	IFI44L
C472511	IFI44L
C516138	IFI44L
D004317	IFI44L
D004958	IFI44L
D005020	IFI44L
D005557	IFI44L
C064925	IFI44L
D006052	IFI44L
C031927	IFI44L
C545476	IFI44L
C561695	IFI44L
D022542	IFI44L
D008727	IFI44L
D008775	IFI44L
C406082	IFI44L
C047806	IFI44L
D009532	IFI44L
C022838	IFI44L
D009538	IFI44L
D052638	IFI44L
C556557	IFI44L
D010894	IFI44L
D011239	IFI44L
D011374	IFI44L
C476509	IFI44L
D012822	IFI44L
C017947	IFI44L
D013629	IFI44L
D000077204	IFI44L
D013739	IFI44L
C004648	IFI44L
D013749	IFI44L
D014028	IFI44L
D014635	IFI44L
D001335	IFI44L
D014750	IFI44L
D015215	IFI44L
C511295	IFIT3
C022776	IFIT3
C026114	IFIT3
C584509	IFIT3
C459179	IFIT3
D015123	IFIT3
C496492	IFIT3
D000082	IFIT3
D016604	IFIT3
C000593263	IFIT3
D001104	IFIT3
D000077237	IFIT3
D017632	IFIT3
C049935	IFIT3
D001379	IFIT3
C487081	IFIT3
D001554	IFIT3
D001564	IFIT3
D019324	IFIT3
C543008	IFIT3
C518299	IFIT3
C018475	IFIT3
D002087	IFIT3
D002117	IFIT3
C007020	IFIT3
D002945	IFIT3
D003300	IFIT3
D016572	IFIT3
D000069439	IFIT3
D003703	IFIT3
D004008	IFIT3
C472511	IFIT3
D004221	IFIT3
C516138	IFIT3
D004317	IFIT3
D013759	IFIT3
C045651	IFIT3
D004958	IFIT3
C004912	IFIT3
D005020	IFIT3
D005557	IFIT3
C064925	IFIT3
D006052	IFIT3
C014026	IFIT3
C031927	IFIT3
D006886	IFIT3
C492448	IFIT3
C544151	IFIT3
C561695	IFIT3
D008070	IFIT3
D008727	IFIT3
D008752	IFIT3
C004925	IFIT3
D008775	IFIT3
D009151	IFIT3
C510788	IFIT3
D009532	IFIT3
C558013	IFIT3
D052638	IFIT3
C086401	IFIT3
D010662	IFIT3
D010936	IFIT3
D011078	IFIT3
C027373	IFIT3
D011239	IFIT3
D011374	IFIT3
D012822	IFIT3
C016766	IFIT3
C061133	IFIT3
D013629	IFIT3
D000077204	IFIT3
C004648	IFIT3
D013749	IFIT3
D013876	IFIT3
D014028	IFIT3
C479163	IFIT3
D014050	IFIT3
D014212	IFIT3
D014241	IFIT3
C012589	IFIT3
D014260	IFIT3
C561310	IFIT3
D014635	IFIT3
D015056	IFITM3
C584509	IFITM3
C459179	IFITM3
D000082	IFITM3
D000968	IFITM3
D018501	IFITM3
C000228	IFITM3
D000077237	IFITM3
C087670	IFITM3
D001565	IFITM3
D019324	IFITM3
C006780	IFITM3
C000611646	IFITM3
D002104	IFITM3
D019256	IFITM3
C459604	IFITM3
C100187	IFITM3
D002945	IFITM3
D000077209	IFITM3
C107676	IFITM3
C007262	IFITM3
D003907	IFITM3
C000944	IFITM3
C516138	IFITM3
C118739	IFITM3
C045651	IFITM3
D000069347	IFITM3
D004958	IFITM3
D005492	IFITM3
D019833	IFITM3
C492448	IFITM3
D007213	IFITM3
D007559	IFITM3
C561695	IFITM3
D008727	IFITM3
D009532	IFITM3
C025589	IFITM3
C472349	IFITM3
D052638	IFITM3
D010634	IFITM3
C556557	IFITM3
C513428	IFITM3
D012402	IFITM3
D012643	IFITM3
D012822	IFITM3
C017947	IFITM3
C016766	IFITM3
C025462	IFITM3
D000077210	IFITM3
D000077204	IFITM3
D013749	IFITM3
C494892	IFITM3
D014028	IFITM3
D014212	IFITM3
D014260	IFITM3
D014635	IFITM3
D001335	IFITM3
D014810	IFITM3
D015025	IFITM3
C511295	PARP9
C459179	PARP9
C496492	PARP9
D000082	PARP9
D000393	PARP9
D000395	PARP9
D018501	PARP9
C000228	PARP9
C487081	PARP9
D001564	PARP9
C006780	PARP9
C018475	PARP9
D019327	PARP9
D016572	PARP9
C516138	PARP9
D004317	PARP9
C045651	PARP9
D004958	PARP9
D005020	PARP9
D006861	PARP9
C031927	PARP9
C561695	PARP9
C541528	PARP9
C406082	PARP9
D009532	PARP9
D010662	PARP9
D010936	PARP9
C027373	PARP9
D012822	PARP9
D000077204	PARP9
D013749	PARP9
D014028	PARP9
D014212	PARP9
D014260	PARP9
C016805	PARP9
D014520	PARP9
D014635	PARP9
D014750	PARP9
D015215	PARP9
C459179	TRIM22
D015123	TRIM22
D000082	TRIM22
D000225	TRIM22
D016604	TRIM22
D001151	TRIM22
D017632	TRIM22
D001564	TRIM22
C018475	TRIM22
D002220	TRIM22
D002945	TRIM22
C018021	TRIM22
D003078	TRIM22
D019327	TRIM22
D016572	TRIM22
D000077209	TRIM22
D003703	TRIM22
D004051	TRIM22
C516138	TRIM22
D004317	TRIM22
C118739	TRIM22
C045651	TRIM22
D004958	TRIM22
D000431	TRIM22
D004997	TRIM22
D005020	TRIM22
D005557	TRIM22
D015474	TRIM22
C544151	TRIM22
C561695	TRIM22
D008070	TRIM22
D008154	TRIM22
D058185	TRIM22
C004925	TRIM22
D008741	TRIM22
C406082	TRIM22
D009532	TRIM22
C029938	TRIM22
D010936	TRIM22
C027373	TRIM22
D011794	TRIM22
C049705	TRIM22
D012822	TRIM22
D012906	TRIM22
C017947	TRIM22
D018038	TRIM22
D004113	TRIM22
C016766	TRIM22
D000077210	TRIM22
C000622638	TRIM22
D013629	TRIM22
D000077204	TRIM22
D013849	TRIM22
D014028	TRIM22
D014212	TRIM22
D014260	TRIM22
C013320	TRIM22
D014520	TRIM22
D014635	TRIM22
D014750	TRIM22
D000077337	TRIM22
D015215	TRIM22
D000077211	TRIM22
C511295	XAF1
C023035	XAF1
D000082	XAF1
D016604	XAF1
D000077237	XAF1
C015001	XAF1
C049935	XAF1
D001374	XAF1
D001564	XAF1
D000069286	XAF1
C018475	XAF1
D003474	XAF1
D003520	XAF1
D016572	XAF1
D000077209	XAF1
C472511	XAF1
D013759	XAF1
D004365	XAF1
C045651	XAF1
D004958	XAF1
D005020	XAF1
D005047	XAF1
D005472	XAF1
D005557	XAF1
D006861	XAF1
C031927	XAF1
C561695	XAF1
D008727	XAF1
D008741	XAF1
C406082	XAF1
D009285	XAF1
D009532	XAF1
C029938	XAF1
C025589	XAF1
C076994	XAF1
D010936	XAF1
D018030	XAF1
C017947	XAF1
D018038	XAF1
C016766	XAF1
D000077204	XAF1
D014028	XAF1
D014212	XAF1
D014520	XAF1
D014638	XAF1
C034028	XAF1
D001335	XAF1
D016604	ZBP1
C029753	ZBP1
D001564	ZBP1
C561695	ZBP1
D009532	ZBP1
D018038	ZBP1
D015032	ZBP1
