gene,immune_cells,cor,p.value
EIF2AK2,B-cells,-0.157950600663418,7.4528859278612e-07
EIF2AK2,CD4+ T-cells,-0.268527957079267,1.62294035666415e-17
EIF2AK2,CD4+ Tcm,-0.280499197941003,4.94954143140552e-19
EIF2AK2,CD4+ memory T-cells,-0.177438139994929,2.56053458082813e-08
EIF2AK2,CD4+ naive T-cells,-0.324640022677426,2.7253691636998e-25
EIF2AK2,CD8+ T-cells,-0.343370653001242,2.78438144619918e-28
EIF2AK2,CD8+ Tcm,-0.220656627532469,3.48931109605368e-12
EIF2AK2,CD8+ Tem,-0.0893990092512548,0.00528408303526035
EIF2AK2,CD8+ naive T-cells,-0.327110949549517,1.12896747059978e-25
EIF2AK2,Memory B-cells,-0.157750369161977,7.70002356830626e-07
EIF2AK2,NK cells,0.00158273071010115,0.960695204941043
EIF2AK2,NKT,0.254263536242794,8.30602278609611e-16
EIF2AK2,Th2 cells,-0.123793694923719,0.000109089251662551
EIF2AK2,naive B-cells,-0.272837947279402,4.71243121137522e-18
EIF2AK2,pro B-cells,-0.0996137761677581,0.00187473706873705
IFI44,B-cells,-0.142196273793568,8.5803168466569e-06
IFI44,CD4+ T-cells,-0.205810083420275,9.31093021224584e-11
IFI44,CD4+ Tcm,-0.210697416915952,3.24361316662943e-11
IFI44,CD4+ memory T-cells,-0.129843581888318,4.90491048465729e-05
IFI44,CD4+ naive T-cells,-0.28213223099564,3.03350940111222e-19
IFI44,CD8+ T-cells,-0.270713453799532,8.69325747593365e-18
IFI44,CD8+ Tcm,-0.127508351817537,6.70596408182397e-05
IFI44,CD8+ Tem,-0.0320646638192687,0.317965376548692
IFI44,CD8+ naive T-cells,-0.251123154904765,1.9130588610882e-15
IFI44,Memory B-cells,-0.136509951599626,1.95045100747895e-05
IFI44,NK cells,0.0428486941703337,0.181947004580864
IFI44,NKT,0.223430753535799,1.83896175379198e-12
IFI44,Th2 cells,-0.151660390548775,2.03699903546055e-06
IFI44,naive B-cells,-0.278924351752503,7.91169176422951e-19
IFI44,pro B-cells,-0.125011861959044,9.31371781686432e-05
IFI44L,B-cells,-0.115354002865274,0.000313609783623012
IFI44L,CD4+ T-cells,-0.183077214357986,8.97222308390004e-09
IFI44L,CD4+ Tcm,-0.188523817571418,3.15701449527302e-09
IFI44L,CD4+ memory T-cells,-0.142243709828173,8.52059256093534e-06
IFI44L,CD4+ naive T-cells,-0.254626734302021,7.53643219865583e-16
IFI44L,CD8+ T-cells,-0.238546738368853,4.82220746876849e-14
IFI44L,CD8+ Tcm,-0.0991118470367848,0.00197713682278337
IFI44L,CD8+ Tem,-0.0036039742383045,0.910651684249718
IFI44L,CD8+ naive T-cells,-0.186802215977712,4.40683185902918e-09
IFI44L,Memory B-cells,-0.109391697019059,0.000634632689391292
IFI44L,NK cells,0.028572505003749,0.373552900009274
IFI44L,NKT,0.184000260090999,7.53314816084041e-09
IFI44L,Th2 cells,-0.162122808595112,3.7419259060255e-07
IFI44L,naive B-cells,-0.244850715745712,9.78564857306362e-15
IFI44L,pro B-cells,-0.0832867256497498,0.0093824099221934
IFIT3,B-cells,-0.206550634204514,7.94920402652774e-11
IFIT3,CD4+ T-cells,-0.340753776045254,7.4998750104209e-28
IFIT3,CD4+ Tcm,-0.293159644952436,1.02057950642654e-20
IFIT3,CD4+ memory T-cells,-0.258232591998982,2.84640392093038e-16
IFIT3,CD4+ naive T-cells,-0.379518730693458,1.16919686838623e-34
IFIT3,CD8+ T-cells,-0.394345636253143,1.61766513018964e-37
IFIT3,CD8+ Tcm,-0.249741139696802,2.75174560337185e-15
IFIT3,CD8+ Tem,-0.130267360191383,4.63163338922883e-05
IFIT3,CD8+ naive T-cells,-0.300916376248495,8.57425118028978e-22
IFIT3,Memory B-cells,-0.192294185719245,1.50417622849654e-09
IFIT3,NK cells,-0.0299852049771155,0.350379610301789
IFIT3,NKT,0.332283090628721,1.73787086537769e-26
IFIT3,Th2 cells,-0.157549906123101,7.95533276202836e-07
IFIT3,naive B-cells,-0.313224521589317,1.43928645563844e-23
IFIT3,pro B-cells,-0.151412900111323,2.11747182026664e-06
IFITM3,B-cells,-0.238474447185114,4.90992437876736e-14
IFITM3,CD4+ T-cells,-0.390460940683181,9.37944943412903e-37
IFITM3,CD4+ Tcm,-0.328233955210461,7.54323785258448e-26
IFITM3,CD4+ memory T-cells,-0.307385313401839,1.02517344658013e-22
IFITM3,CD4+ naive T-cells,-0.407733841415442,3.15518941638571e-40
IFITM3,CD8+ T-cells,-0.439121316037846,4.39220390655362e-47
IFITM3,CD8+ Tcm,-0.297118388412393,2.91062681191008e-21
IFITM3,CD8+ Tem,-0.161742813762921,3.98718538238943e-07
IFITM3,CD8+ naive T-cells,-0.325449022182766,2.04409747701277e-25
IFITM3,Memory B-cells,-0.207385552747132,6.64652111784792e-11
IFITM3,NK cells,-0.0455360009892954,0.156021180611513
IFITM3,NKT,0.40243778451722,3.85324685467489e-39
IFITM3,Th2 cells,-0.165630264279638,2.06816182445228e-07
IFITM3,naive B-cells,-0.352561103234038,7.95463858025218e-30
IFITM3,pro B-cells,-0.194483928486633,9.71171627712997e-10
PARP9,B-cells,-0.229117239292303,4.81681879393506e-13
PARP9,CD4+ T-cells,-0.362747325146767,1.34442082742941e-31
PARP9,CD4+ Tcm,-0.29543265662565,4.97789490769532e-21
PARP9,CD4+ memory T-cells,-0.287261505499335,6.38080166749476e-20
