id	B-cells	CD4+ T-cells	CD4+ Tcm	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	Memory B-cells	NK cells	NKT	Th2 cells	naive B-cells	pro B-cells
GSM1594247	0.1486	0.0403	0.0212	0.013	0.049	0.1188	0.0821	0.0266	0.0038	0.055	0.0032	0.0309	0	0.0609	0.0137
GSM1594250	0.1252	0.0067	0	0	0.0158	0.0636	0.0678	0.0085	5.00E-04	0.0432	0	0.1099	0	0.054	0.011
GSM1594253	0.0767	0.0149	0.0201	3.00E-04	0.0256	0.0765	0.0784	0	0.0078	0.026	0	0.063	0	0.0558	0.0025
GSM1594254	0.17	0.0707	0.0248	0.0347	0.0737	0.1774	0.151	0.0217	0.0111	0.0543	0	0	0.0383	0.0743	0.0138
GSM1594255	0.2079	0.0332	0.0412	0.0113	0.0336	0.1058	0.0856	0.0177	0.0169	0.0751	0.0017	0.0303	0.0065	0.0624	0.0219
GSM1594256	0.2305	0.0349	0	0.0092	0.0413	0.1212	0.1056	0.0285	0.0073	0.0743	0	0.0117	0.0238	0.0878	0.024
GSM1594257	0.2416	0.0602	0.04	0.0296	0.0694	0.1425	0.1217	0.0147	0.0184	0.0786	0	0.0188	0.024	0.085	0.0184
GSM1594258	0.0858	0.0176	0.0383	0	0.0236	0.0629	0.0635	0.0121	0.0047	0.0355	0	0.0868	0.0032	0.0319	0
GSM1594259	0.1524	0.0329	0.0518	0	0.0312	0.1003	0.079	0.0022	0.0078	0.0477	0	0.0336	0	0.0678	0.0147
GSM1594260	0.1274	0.0168	0.0016	0	0.0239	0.0904	0.098	0.0178	0.0029	0.0352	0	0.0485	0.0065	0.0512	0.0051
GSM1594261	0.0715	0.0362	0.033	0.004	0.0584	0.1063	0.1165	0.0079	0.0113	0.0237	0	0.0407	0.0532	0.0238	0
GSM1594262	0.1995	0.0567	0.0369	0.0118	0.0539	0.1206	0.1058	0.0273	0.0077	0.073	0	0.0251	0.0194	0.0718	0.0164
GSM1594263	0.2224	0.0599	0.0405	0.014	0.0502	0.1013	0.0834	0	0.0077	0.0733	0	0.0122	0.021	0.0816	0.0396
GSM1594264	0.08	0.0307	0.0174	0.0155	0.0256	0.0865	0.1001	0.0231	0.0029	0.0216	0.0138	0.0289	0.0166	0.0322	0.0023
GSM1594265	0.1871	0.03	0.0456	0.0098	0.0259	0.0964	0.0773	0.0122	0.0053	0.0563	0.001	0.0366	0.0281	0.0764	0.0153
GSM1594266	0.1123	0.044	0.0018	0.0172	0.0435	0.1279	0.1364	0.017	0.0032	0.0258	0	0.004	0.0717	0.0387	0.0086
GSM1594267	0.1414	0.0397	0.0401	0.0148	0.0508	0.1052	0.0991	0.0124	0.0071	0.0541	0	0.0992	0.024	0.0547	0
GSM1594574	0.1279	0.0215	0.0121	0.006	0.0281	0.0793	0.0835	0	0	0.039	0	0.0544	0.0093	0.038	0.0118
GSM1594575	0.1638	0.0494	0.0275	0.0213	0.0368	0.067	0.0857	0.0141	0.0069	0.0515	0	0.0698	0	0.0574	0.0092
GSM1594576	0.1759	0.0182	0.0067	0.0115	0.0177	0.1068	0.0964	0.046	0.0043	0.0596	0.034	0.0017	0.0074	0.0583	0.0202
GSM1594577	0.2306	0.0379	0.0125	0.0275	0.062	0.125	0.1204	0.0151	0.0035	0.0696	5.00E-04	0.0164	0.0056	0.0932	0.0248
GSM1594578	0.2274	0	0	0	0.0044	0.0735	0.0661	0.0158	0	0.0763	0	0.0287	0	0.0891	0.025
GSM1594579	0.168	0.0315	0.003	0.0123	0.0339	0.1033	0.0981	0.0253	0.0072	0.0528	0	0.0297	0.0416	0.0594	0.0136
GSM1594580	0.1862	0.0484	0.0317	0.0111	0.0707	0.1561	0.1075	0.0366	0.0086	0.0592	0	0.0147	0	0.0794	0.0204
GSM1594581	0.232	0.0387	0.0437	0.0075	0.047	0.0961	0.0888	5.00E-04	0.0142	0.0765	0	0.029	0	0.0959	0.0204
GSM1594582	0.1709	0.0145	0	0.0015	0.0248	0.0972	0.0901	0.0048	0.0047	0.0637	0	0.0356	0.0108	0.0714	0.012
GSM1594583	0.1317	0.0482	0.0234	0.0183	0.0379	0.1229	0.1276	0.0096	0.0044	0.0378	0	0	0	0.0583	0.0143
GSM1594584	0.1419	0.0224	0.0138	0.0053	0.0284	0.096	0.0723	0.0096	0.0093	0.0432	0.0018	0.0311	0.0036	0.0558	0.0125
GSM1594585	0.1737	0.0234	0.0096	0.0074	0.0267	0.0744	0.0831	0.0089	0.0026	0.0597	0	0.0339	0.001	0.0684	0.0123
GSM1594586	0.1797	0.0608	0.0382	0.0242	0.0591	0.1159	0.1154	0.0283	0.0105	0.0596	0	0.0054	0	0.0611	0.0196
