TF	gene
ELK1	IFI44
ZNF143	IFI44
NFIC	IFI44
YY1	IFI44
MYC	IFI44
ATF3	IFI44
PRDM1	IFI44
GATA2	IFI44
EBF1	IFI44
NFE2	IFI44
FOS	IFI44
NR3C1	IFI44
STAT2	IFI44
RUNX3	IFI44
BATF	IFI44
JUN	IFI44
IRF1	IFI44
STAT1	IFI44
hsa-miR-4659a-3p	IFI44
C511295	IFI44
C496492	IFI44
D000082	IFI44
D016604	IFI44
D000393	IFI44
C000228	IFI44
D017632	IFI44
D001379	IFI44
D001564	IFI44
D000069286	IFI44
D002104	IFI44
C459604	IFI44
C023676	IFI44
D003031	IFI44
C018021	IFI44
D003300	IFI44
D016572	IFI44
C107676	IFI44
D003703	IFI44
D004008	IFI44
C472511	IFI44
D004317	IFI44
C045651	IFI44
D004958	IFI44
D005557	IFI44
D006052	IFI44
C000593030	IFI44
C031927	IFI44
D007472	IFI44
D007479	IFI44
C561695	IFI44
D008070	IFI44
D008727	IFI44
D008775	IFI44
C523799	IFI44
C568376	IFI44
D009532	IFI44
C029938	IFI44
D009538	IFI44
C558013	IFI44
C046012	IFI44
C076994	IFI44
C556557	IFI44
D010936	IFI44
D011239	IFI44
D012822	IFI44
D012906	IFI44
C017947	IFI44
C016766	IFI44
D000077204	IFI44
D013749	IFI44
C494892	IFI44
D014028	IFI44
C479163	IFI44
D014212	IFI44
D014750	IFI44
